SAR_pct,beta_family,R_AR_mean,R_AR_sd,U_AR_mean,U_AR_sd,overall_UminusR_pp,overall_p,R_inactive_mean,R_inactive_sd,U_inactive_mean,U_inactive_sd,inactive_UminusR_pp,inactive_p,R_employed_mean,R_employed_sd,U_employed_mean,U_employed_sd,employed_UminusR_pp,employed_p,R_student_mean,R_student_sd,U_student_mean,U_student_sd,student_UminusR_pp,student_p,R_peak_mean,R_peak_sd,U_peak_mean,U_peak_sd,peak_UminusR,peak_p,peak_drop_pct,R_day_mean,R_day_sd,U_day_mean,U_day_sd,day_RminusU,day_p,R_multi_peak,U_multi_peak
15,0.0161,63.77369203480806,13.149615636561588,68.63404761794494,0.06749869987883345,4.8603555831368865,1.7763568394002505e-15,16.08538804845534,3.3182723276483728,21.565269808149306,0.14705629692157096,5.479881759693967,1.7763568394002505e-15,95.66483516483515,19.726085063170554,99.9493798280927,0.04977170006986932,4.284544663257549,7.555220876380673e-10,95.28649303452454,19.648877441552024,99.94901485730573,0.04690258355838902,4.662521822781187,7.555220876380673e-10,3294.42,684.8007036163656,4259.5,82.76256917920598,965.0799999999999,7.555220876380673e-10,22.657119380208943,100.34,21.712039357490685,89.4,8.616547914285842,10.939999999999998,2.846310339783522e-07,48,49
20,0.0221,66.85412199493346,9.647384382544995,70.88792045459809,0.0649999206632336,4.033798459664624,1.7763568394002505e-15,20.494708166695645,2.9596755345278742,27.153492146293402,0.1590761624491373,6.658783979597757,1.7763568394002505e-15,97.86992710260039,14.12348755870441,99.99007180937873,0.01577039176154486,2.1201447067783477,7.539859267508617e-10,97.47130081590478,14.066833141927395,99.97773185591619,0.015660115118538372,2.5064310400114067,7.550097219539461e-10,3733.1,546.2420129710766,5015.92,89.52774966000024,1282.8200000000002,7.551804758280675e-10,25.57496929775595,95.06,15.908424157774819,78.3,6.774050125444955,16.760000000000005,1.3976136451510477e-08,49,44
25,0.0284,68.34621886100395,9.86259567558866,72.92859160734879,0.0664923540041606,4.582372746344845,7.555220876380673e-10,24.141076914159854,3.4851829403471544,32.25247782994262,0.1653971947313852,8.111400915782767,7.551804758280675e-10,97.92264171472094,14.131040729584566,99.99706234359698,0.005888989667057715,2.074420628876041,8.503589307504358e-10,97.53817650621725,14.07629115758823,99.98232800085508,0.009335699596964661,2.444151494637822,7.551804758280675e-10,4052.18,591.3184400566419,5673.04,103.16124885491703,1620.8600000000001,7.553512643873762e-10,28.571277480856825,88.94,14.459528318160087,71.26,5.255939303224846,17.679999999999993,1.3729715495525715e-08,49,33
30,0.035,69.6876722225567,10.05625103347461,74.7683337424222,0.07413463915033512,5.080661519865501,1.7763568394002505e-15,27.44114067118762,3.961892443502256,36.85478467512897,0.1851850013672415,9.41364400394135,7.555220876380673e-10,97.94426612990968,14.134160822440142,99.99880317702099,0.0018764779936355101,2.0545370471113102,8.016619347171194e-10,97.59849645491146,14.084974364084374,99.98418071044286,0.008156810750184566,2.3856842555314017,7.553512643873762e-10,4354.24,635.016263972982,6247.66,92.84299013025449,1893.42,7.555220876380673e-10,30.306066591331795,84.44,13.645900931961142,65.34,4.206942755367462,19.099999999999994,1.3914168762915017e-08,49,37
