SAR_pct,beta_family,seed,R_AR,U_AR,R_peak,U_peak,R_day,U_day,R_inactive_AR,U_inactive_AR,R_employed_AR,U_employed_AR,R_student_AR,U_student_AR
15,0.0161,0,0.6922848925794366,0.7104252826186628,4313,5000,94,79,0.2300005796093433,0.27540717556367006,1.0,0.9998503971276248,0.9996437096946592,0.9998396693625966
15,0.0161,1,0.691636525307164,0.7108328277612341,4578,4839,88,79,0.22954848432156727,0.2763229583260882,0.9988303775432489,1.0,0.9993764919656536,0.9998040403320626
15,0.0161,2,0.6925488706831475,0.7103604458914355,4386,4965,87,79,0.2307772561293688,0.27590563959891035,0.9998367968664998,0.9995511913828745,0.9996793387251933,0.9992161613282503
15,0.0161,3,0.6933593297734882,0.7110736498909354,4535,4870,81,77,0.23299136382078478,0.277389439517765,1.0,0.9995783919051245,0.9991805322977162,0.9996437096946592
15,0.0161,4,0.693827080448485,0.7084338688538256,4466,4884,88,83,0.23417376688112213,0.27041094302440155,0.9999455989555,1.0,0.9992339758435173,0.9996615242099263
15,0.0161,5,0.6922802613846346,0.7119396833188995,4493,4990,93,76,0.23002376398307542,0.2794064800324581,1.0,0.9995919921662496,0.999590266148858,0.9998574838778637
15,0.0161,6,0.6922107934626054,0.7100316310604973,4323,4856,85,71,0.2307772561293688,0.2745725381093143,0.9996871939941246,0.9998639973887499,0.9985748387786368,0.999590266148858
15,0.0161,7,0.6919468153588945,0.7105271689043056,4559,4942,77,76,0.23100909986668985,0.2757897177302498,0.9994015885104994,0.9998095963442498,0.9975772259236826,0.9996971532404604
15,0.0161,8,0.6927063313064137,0.7106105304107406,4460,5161,84,73,0.23140323422013562,0.2757897177302498,0.9994287890327495,0.9999455989555,0.9998574838778637,0.9998396693625966
15,0.0161,9,0.6915161142423134,0.7094064197622345,4365,4995,83,74,0.22974555149829015,0.272729380397612,0.9991295832879992,1.0,0.998218548473296,0.9998396693625966
15,0.0161,10,0.6912243489697907,0.711189429760984,4419,4900,84,81,0.22841245000869415,0.27715759578044397,0.9997959960831247,0.9999863997388749,0.9982719920190971,0.9999109274236648
15,0.0161,11,0.6934519536695272,0.7105920056315329,4578,4848,83,76,0.2332811684924361,0.27577812554338377,0.9999455989555,1.0,0.9991627177824491,0.9997149677557273
15,0.0161,12,0.6915624261903328,0.7106058992159388,4474,5041,88,82,0.22939778589230858,0.2758013099171159,0.9988575780654989,1.0,0.9992874193893184,0.9997327822709944
15,0.0161,13,0.6920070208913198,0.7110921746701431,4350,4872,84,78,0.2302208311597983,0.27699530516431925,0.9991839843324992,0.9999591992166249,0.9993052339045855,0.9998218548473295
15,0.0161,14,0.6924886651507223,0.711634024461971,4373,5002,82,73,0.23089317799802933,0.2783052222801832,0.9999455989555,0.99997279947775,0.999127088751915,0.9998752983931307
15,0.0161,15,0.6916550500863718,0.7101705669045557,4495,4998,91,89,0.22928186402364806,0.27480438184663536,0.9997007942552497,0.9998231966053748,0.9987173549007732,0.9998218548473295
15,0.0161,16,0.6920579640341411,0.7104345450082667,4491,5060,80,73,0.23018605459920014,0.27540717556367006,0.9998503971276248,0.9999591992166249,0.9986817258702391,0.9997327822709944
15,0.0161,17,0.6922524742158229,0.7114395142802892,4437,4847,87,81,0.2302208311597983,0.2782936300933171,0.9995375911217496,0.9998095963442498,0.9997862258167955,0.9993586774503865
15,0.0161,18,0.691025207593307,0.7110782810857372,4568,4894,107,82,0.22826175157943546,0.276937344229989,0.9997143945163747,1.0,0.9978444436526882,0.9998040403320626
15,0.0161,19,0.6916457876967679,0.7098973264112408,4478,4950,80,76,0.2291079812206573,0.274062481887208,0.9998095963442498,0.9999591992166249,0.9988064274771083,0.9997327822709944
15,0.0161,20,0.6931972379554201,0.7115089822023184,4459,4984,92,92,0.23267837477540138,0.2780270097953979,0.9998503971276248,1.0,0.9992339758435173,0.9997862258167955
15,0.0161,21,0.6916504188915699,0.7103511835018317,4559,5057,89,79,0.22901524372572885,0.27510577870515274,0.9991295832879992,1.0,0.9998574838778637,0.9998218548473295
15,0.0161,22,0.6925303459039398,0.7123472284614707,4373,4947,97,90,0.2313104967252072,0.28012519561815336,0.998979980415624,0.99997279947775,0.9999109274236648,0.9998218548473295
15,0.0161,23,0.6918264042940439,0.7116062372931593,4542,4969,79,75,0.22991943430128095,0.2783399988407813,0.9998367968664998,1.0,0.998218548473296,0.9996793387251933
15,0.0161,24,0.6926322321895826,0.7105920056315329,4324,4948,83,75,0.231264127977743,0.27575494116965166,0.9998095963442498,0.9999455989555,0.9992874193893184,0.9998218548473295
15,0.0161,25,0.6915068518527094,0.7113607839686561,4505,4890,86,73,0.2297339593114241,0.2775865066944879,0.9987759764987488,1.0,0.998663911354972,0.9998931129083978
15,0.0161,26,0.6928498983452741,0.7112403729038055,4519,4870,98,84,0.2317741841998493,0.2776792441894163,0.9999455989555,0.9995375911217496,0.9991627177824491,0.9998931129083978
15,0.0161,27,0.6928035863972546,0.7117266483580098,4486,5153,99,76,0.23169303889178694,0.27845592070944186,0.9993879882493744,1.0,0.9998396693625966,0.9999643709694659
15,0.0161,28,0.6921505879301801,0.7118980025656819,4297,4875,101,80,0.23001217179620936,0.2790007534921463,0.9995375911217496,1.0,0.9997149677557273,0.9997862258167955
15,0.0161,29,3.241836361367323e-05,0.7116432868515749,1,5028,2,92,8.114530806236596e-05,0.27849069727004,0.0,1.0,0.0,0.999590266148858
15,0.0161,30,0.6927433808648293,0.7113005784362307,4519,5075,85,78,0.2321103576189648,0.277389439517765,0.9991839843324992,1.0,0.9992339758435173,0.9999643709694659
15,0.0161,31,0.6922246870470112,0.711022706748114,4352,4984,90,74,0.23120616704341274,0.27679823798759634,0.9996599934718746,1.0,0.9980047742900916,0.9998040403320626
15,0.0161,32,0.6923682540858715,0.7115228757867242,4442,4952,82,73,0.23083521706369906,0.2781893004115226,0.9998503971276248,0.9998503971276248,0.9988776855381765,0.9997862258167955
15,0.0161,33,0.6919699713329042,0.711985995266919,4373,5177,97,75,0.23016287022546802,0.27933692691126183,0.9990479817212491,0.9999455989555,0.9994299355114548,0.9996793387251933
15,0.0161,34,0.6915948445539465,0.7109161892676692,4513,5043,95,84,0.2292934562105141,0.27652002550281113,0.9995919921662496,0.9999455989555,0.998610467809171,0.9998931129083978
15,0.0161,35,0.6920903823977548,0.7102770843850005,4463,4853,81,75,0.23090477018489539,0.2749087115284298,0.9995919921662496,0.9999591992166249,0.9980404033206256,0.9998931129083978
15,0.0161,36,0.6918449290732516,0.7110412315273218,4310,5039,77,72,0.2300469483568075,0.2769141598562569,0.9994559895549995,1.0,0.9985926532939039,0.9996971532404604
15,0.0161,37,0.6914281215410764,0.7126760432924091,4401,5099,91,79,0.22930504839738017,0.28092505651191096,0.9985855728429985,1.0,0.9992696048740514,0.9998218548473295
15,0.0161,38,0.691807879514836,0.7108559837352438,4259,5042,81,66,0.22936300933171042,0.27638091926041847,0.9999455989555,1.0,0.9988598710229095,0.9998040403320626
15,0.0161,39,0.6914281215410764,0.7107633598392049,4441,4938,109,86,0.22819219845823915,0.2761027067756332,0.9995375911217496,1.0,0.9997327822709944,0.9998752983931307
15,0.0161,40,0.6928915790984916,0.710059418229309,4449,5058,90,76,0.23240016229061614,0.2745377615487162,1.0,1.0,0.9982898065343642,0.9995724516335911
