SAR_pct,beta_family,R_AR_mean,R_AR_sd,U_AR_mean,U_AR_sd,overall_UminusR_pp,overall_p,R_inactive_mean,R_inactive_sd,U_inactive_mean,U_inactive_sd,inactive_UminusR_pp,inactive_p,R_employed_mean,R_employed_sd,U_employed_mean,U_employed_sd,employed_UminusR_pp,employed_p,R_student_mean,R_student_sd,U_student_mean,U_student_sd,student_UminusR_pp,student_p,R_peak_mean,R_peak_sd,U_peak_mean,U_peak_sd,peak_UminusR,peak_p,peak_drop_pct,R_day_mean,R_day_sd,U_day_mean,U_day_sd,day_RminusU,day_p,R_multi_peak,U_multi_peak
15,0.0161,67.83006293793736,9.78815529631134,71.0878028222501,0.07815599244580754,3.257739884312741,1.7763568394002505e-15,22.583434764968413,3.2611315775048575,27.65195618153364,0.19420526051175177,5.068521416565229,1.7763568394002505e-15,97.9599880317702,14.136414010316093,99.99227505168099,0.013459197065341277,2.0322870199107967,5.196435744295871e-06,97.89753090818398,14.127486168423228,99.97769622688566,0.014496011349793368,2.080165318701674,6.616929226765933e-12,4352.72,633.5305362870549,4974.18,89.8285646128678,621.46,1.7763568394002505e-15,12.493717557466757,85.64,14.110005134583018,78.12,5.3932686692557334,7.519999999999996,2.989167960776479e-08,47,48
20,0.0221,69.43427176777338,10.019774131605494,73.26736350711121,0.07612868824718716,3.8330917393378314,1.7763568394002505e-15,26.56820263142642,3.8386040764522713,33.09954210861879,0.19090151689966475,6.531339477192372,1.7763568394002505e-15,97.97774997279949,14.138942353750029,99.99654553367425,0.008357653538975444,2.0187955608747643,4.731540266382609e-07,97.92140235864181,14.13089558690508,99.98439448462608,0.00764801444789796,2.062992125984266,1.1069628719658487e-09,4746.38,690.780891750896,5653.56,82.80420969284799,907.1800000000003,1.7763568394002505e-15,16.046172677038896,80.3,13.28225761483863,71.18,5.232122135502603,9.11999999999999,5.610267805877811e-11,47,36
25,0.0284,70.90711212585735,10.232218650500686,75.23779795949557,0.0888555655460794,4.3306858336382135,1.7763568394002505e-15,30.247006317741835,4.367451683677328,38.0296759983771,0.22250593695461737,7.782669680635266,1.7763568394002505e-15,97.987814166032,14.140384070583883,99.99782395821998,0.0036348226786043257,2.0100097921879865,7.94577499445741e-06,97.92022660063418,14.130737942944766,99.9857840168169,0.007987110186553402,2.0655574161827133,5.665933170139405e-09,5071.52,735.309104515695,6217.32,119.52413128395317,1145.7999999999993,1.7763568394002505e-15,18.429162404380012,75.92,12.350064033544646,65.56,4.500158727359356,10.36,5.610267805877811e-11,45,34
30,0.035,72.22689149573696,10.422540353516629,77.04574231105883,0.10434799026662149,4.818850815321866,1.7763568394002505e-15,33.547301918506925,4.843006097374756,42.553364632237866,0.26111940005066253,9.006062713730941,1.7763568394002505e-15,97.98571972581873,14.140083776097324,99.9980959634425,0.00409393263318666,2.0123762376237693,5.708257649939233e-07,97.92788684219903,14.131833162530155,99.98806427477108,0.006430672914552626,2.060177432572047,1.6058265828178264e-12,5348.62,778.8384834259964,6754.4,91.38101441721014,1405.7799999999997,1.7763568394002505e-15,20.812803505862842,72.18,11.705031187572326,62.44,3.8447419700581373,9.740000000000009,5.610267805877811e-11,41,25
