step,R_SAR15,U_SAR15,R_SAR20,U_SAR20,R_SAR25,U_SAR25,R_SAR30,U_SAR30
0,6.6,6.86,6.66,6.92,6.72,6.96,6.8,7.08
1,5.02,5.36,5.22,5.38,5.26,5.44,5.34,5.6
2,7.02,7.66,7.04,7.64,7.1,7.64,7.26,7.68
3,8.96,9.08,8.46,8.8,9.0,9.24,9.18,9.36
4,9.0,9.76,9.64,10.16,9.32,10.46,9.6,10.22
5,9.28,9.52,9.42,9.9,9.78,10.3,10.3,10.74
6,8.16,10.12,9.48,10.42,8.98,10.8,9.64,10.96
7,7.8,9.58,8.58,9.14,8.78,10.7,8.82,10.5
8,7.52,9.14,7.8,9.72,9.68,8.9,10.08,9.32
9,6.86,9.96,8.4,8.74,8.82,10.22,8.82,10.2
10,6.64,10.36,8.02,11.48,8.9,10.84,10.76,11.28
11,7.66,11.2,9.78,12.22,9.28,14.58,12.46,13.88
12,8.84,12.84,10.32,15.28,11.94,17.14,14.74,16.68
13,10.22,13.72,12.0,16.5,12.3,19.78,16.2,19.94
14,11.94,16.24,14.48,20.22,14.48,24.54,19.16,24.22
15,14.94,17.22,16.86,22.84,17.94,28.66,23.74,30.54
16,15.36,21.76,18.16,27.26,21.24,33.46,27.64,33.42
17,18.54,23.44,21.22,31.2,25.26,38.6,30.88,41.62
18,21.82,27.14,22.72,35.22,29.1,43.72,35.16,46.88
19,22.48,30.94,26.72,39.54,31.58,49.62,40.7,55.72
20,24.04,34.02,28.8,44.44,36.76,59.42,47.84,63.88
21,29.6,37.0,33.16,51.28,43.16,64.0,53.4,72.16
22,32.4,42.74,36.24,57.08,49.38,74.26,58.56,85.22
23,32.88,47.92,40.82,64.22,52.9,84.24,65.52,94.08
24,36.24,53.94,45.4,69.34,57.62,96.82,74.14,108.72
25,39.26,59.1,49.64,79.52,65.32,110.6,84.0,124.08
26,44.02,62.96,55.64,91.14,75.04,126.92,92.04,142.32
27,49.22,72.08,61.12,99.16,80.84,142.42,102.32,167.4
28,55.48,80.24,70.3,114.84,90.44,162.56,114.24,189.22
29,60.18,84.52,77.48,128.26,100.4,186.98,129.38,220.28
30,64.76,99.44,87.1,148.3,112.92,207.0,144.7,246.96
31,71.8,107.04,97.94,160.28,121.16,232.18,168.52,285.16
32,78.42,123.08,108.28,183.84,132.42,270.12,184.82,326.58
33,87.74,132.28,119.52,202.42,146.4,305.26,206.32,378.94
34,99.28,150.76,134.54,227.48,166.14,350.76,227.18,428.46
35,109.1,166.96,147.3,253.54,183.78,395.5,255.04,483.16
36,120.12,182.98,158.46,286.04,212.44,456.2,281.06,565.82
37,133.32,205.34,179.4,327.12,231.72,510.54,313.96,641.1
38,142.1,228.2,194.5,371.1,262.3,579.88,350.42,729.94
39,157.02,254.86,210.98,411.54,286.4,658.76,388.98,844.74
40,172.34,278.04,234.12,460.52,323.32,743.32,433.7,960.72
41,189.06,317.24,256.7,519.1,353.64,834.74,479.14,1095.82
42,208.22,346.96,284.8,581.98,391.54,937.12,525.54,1245.12
43,220.8,386.66,313.54,654.52,434.38,1060.44,597.34,1410.36
44,247.2,428.68,356.38,724.02,486.26,1205.58,654.7,1590.66
45,275.14,483.32,390.84,819.52,527.26,1339.04,727.68,1802.54
46,297.96,529.26,429.4,917.14,585.14,1505.74,803.78,2025.64
47,325.18,589.52,471.48,1021.18,640.84,1683.68,888.38,2289.34
48,363.86,647.8,522.58,1144.3,698.86,1882.84,984.16,2542.5
49,394.2,718.46,564.12,1266.64,780.12,2090.84,1073.98,2829.26
50,428.76,788.82,626.38,1401.92,853.64,2312.92,1190.98,3139.72
51,467.58,870.32,687.82,1549.22,939.94,2571.36,1318.58,3455.28
52,512.34,957.92,758.2,1702.66,1043.64,2819.72,1451.22,3784.04
53,558.52,1044.84,824.12,1881.22,1142.04,3095.46,1590.08,4141.4
54,605.24,1162.68,902.56,2065.58,1257.96,3361.56,1729.62,4479.32
55,674.56,1275.62,990.1,2270.0,1373.56,3661.82,1913.3,4808.62
56,734.6,1416.18,1069.36,2468.06,1496.86,3946.24,2074.06,5107.34
57,793.64,1543.3,1178.24,2706.78,1629.54,4212.2,2272.84,5414.38
58,870.76,1675.22,1281.26,2927.82,1790.28,4480.86,2478.08,5660.08
59,942.16,1831.7,1391.26,3172.16,1952.02,4751.5,2662.14,5864.1
60,1023.74,1993.0,1506.4,3402.76,2118.68,4962.2,2892.16,6056.22
61,1111.0,2168.04,1653.28,3653.88,2294.16,5186.04,3117.9,6125.66
62,1189.4,2334.78,1776.5,3879.82,2466.3,5329.54,3302.88,6163.42
63,1293.76,2505.78,1925.38,4134.22,2669.12,5454.72,3513.66,6117.08
64,1405.74,2706.78,2084.32,4334.9,2862.6,5546.54,3722.24,5993.48
65,1518.78,2890.34,2240.44,4524.64,3040.86,5572.52,3923.9,5833.0
66,1624.24,3054.66,2413.96,4684.14,3246.08,5554.42,4083.18,5583.68
67,1756.2,3242.24,2572.58,4818.64,3450.4,5493.22,4248.78,5291.9
68,1883.46,3448.08,2730.16,4903.52,3608.2,5349.8,4422.04,4975.12
69,2000.4,3617.32,2908.24,5022.38,3788.08,5186.94,4536.44,4624.92
70,2166.4,3803.62,3086.2,5041.52,3938.26,4964.32,4642.3,4229.8
71,2298.44,3936.26,3249.2,5023.18,4091.8,4705.02,4712.5,3859.16
72,2442.56,4094.32,3407.22,5005.02,4204.66,4421.18,4732.44,3472.26
73,2606.68,4248.9,3567.06,4920.6,4333.9,4126.74,4740.36,3107.1
74,2746.22,4318.2,3712.14,4762.02,4399.22,3801.9,4694.3,2782.84
75,2885.2,4402.64,3830.78,4619.46,4467.08,3510.72,4588.86,2462.84
76,3033.72,4458.94,3945.16,4428.54,4450.74,3175.4,4488.56,2171.78
77,3166.36,4475.7,4038.12,4185.3,4446.22,2878.46,4348.08,1914.8
78,3293.72,4466.04,4112.12,3947.74,4400.16,2580.86,4170.88,1687.36
79,3403.32,4423.66,4157.02,3708.98,4320.16,2294.46,3980.26,1463.68
80,3504.4,4349.76,4175.66,3451.1,4230.5,2023.26,3779.52,1285.02
81,3608.92,4274.64,4170.56,3168.28,4082.34,1798.7,3532.84,1135.82
82,3660.3,4122.38,4130.64,2921.72,3940.84,1579.58,3328.16,989.76
83,3717.84,3977.1,4061.42,2662.72,3752.44,1400.34,3092.6,877.04
84,3756.3,3823.78,3969.74,2415.26,3564.7,1225.5,2859.76,782.6
85,3785.52,3630.64,3878.56,2169.44,3364.24,1078.66,2643.48,694.74
86,3790.72,3411.54,3737.92,1940.28,3145.42,952.66,2410.32,614.8
87,3769.14,3220.08,3599.66,1752.06,2924.76,844.2,2200.76,549.18
88,3733.94,3007.68,3427.92,1559.94,2707.26,745.2,2007.46,492.48
89,3684.46,2777.04,3245.98,1387.76,2505.62,657.0,1811.7,446.82
90,3592.64,2560.5,3068.74,1234.16,2296.68,585.56,1641.92,398.48
91,3502.76,2361.86,2880.42,1097.82,2111.28,527.06,1490.76,362.66
92,3383.34,2162.46,2688.28,982.54,1922.48,463.34,1336.36,332.08
93,3238.38,1976.68,2502.0,866.76,1763.56,417.52,1198.1,300.56
94,3115.02,1786.46,2328.92,775.48,1603.18,373.48,1067.86,271.62
95,2966.5,1611.26,2138.62,682.5,1468.44,342.1,958.08,248.8
96,2789.42,1454.62,1970.52,607.46,1331.1,310.8,855.24,223.04
97,2650.72,1309.88,1797.18,540.52,1201.56,277.36,767.58,201.42
98,2482.4,1171.54,1650.62,485.48,1090.94,254.12,684.1,183.02
99,2334.8,1046.86,1495.08,429.64,982.06,229.42,608.16,166.2
100,2169.0,925.82,1360.22,388.84,894.3,207.28,544.38,151.16
101,2031.88,835.52,1221.42,343.68,810.04,192.1,480.7,137.56
102,1884.26,738.68,1099.86,305.54,728.46,172.82,426.58,126.4
103,1746.08,662.14,1002.94,279.46,665.06,156.7,384.42,112.4
104,1611.36,591.3,902.72,248.38,594.56,144.6,345.02,101.6
105,1491.82,527.46,816.88,227.84,537.46,131.18,306.26,92.12
106,1364.68,474.62,749.44,206.86,478.74,119.38,274.5,83.54
107,1242.32,424.44,671.94,185.08,440.64,107.08,243.52,76.98
108,1141.8,376.46,614.56,172.04,385.78,97.2,219.86,69.98
109,1042.0,336.24,562.18,153.52,348.78,87.9,199.6,64.24
110,947.22,299.24,507.32,141.32,316.26,81.7,174.26,57.02
111,860.26,272.52,465.18,129.34,271.8,74.64,160.82,52.1
112,789.4,243.32,417.44,118.14,248.6,69.44,145.54,47.0
113,709.6,215.7,379.38,105.7,221.52,60.7,127.8,43.2
114,643.68,196.92,340.7,99.02,201.12,56.32,117.48,37.96
115,579.1,175.18,310.06,89.6,181.68,50.4,105.96,36.16
116,526.46,160.24,280.24,81.26,160.08,45.86,95.7,32.32
117,476.46,143.38,254.8,73.72,144.86,40.62,85.68,28.34
118,423.34,130.4,233.44,67.32,131.14,38.38,78.98,27.58
119,389.54,119.0,213.22,60.78,117.28,35.42,70.94,24.4
120,345.76,108.44,188.36,56.7,107.9,31.36,65.52,22.36
121,309.22,98.2,168.04,50.92,98.34,29.58,57.34,20.06
122,278.38,91.02,152.42,46.42,87.76,27.34,53.06,18.74
123,249.08,81.48,138.3,43.38,78.76,23.84,48.24,17.52
124,227.44,75.3,125.94,38.02,73.74,22.06,44.3,15.08
125,198.38,67.2,110.76,35.1,64.08,19.32,40.86,14.14
126,176.68,60.8,102.18,33.08,58.66,17.22,36.24,13.0
127,159.08,56.0,92.58,30.0,54.12,15.34,33.8,11.34
128,146.5,49.16,83.44,28.16,47.84,14.32,30.1,10.4
129,131.5,47.98,73.28,26.46,44.2,13.84,27.26,9.82
130,117.02,41.78,67.4,22.2,39.52,12.42,26.26,8.68
131,104.62,38.56,62.08,20.56,37.82,11.7,22.8,7.76
132,95.62,35.6,53.6,18.68,32.68,11.02,20.5,7.36
133,86.42,32.54,49.08,17.24,30.62,10.02,18.32,6.22
134,78.5,28.78,44.86,15.5,26.44,8.62,17.02,5.56
135,71.54,26.62,42.16,13.72,24.2,7.72,16.36,5.84
136,66.94,25.22,36.3,12.32,23.42,7.84,14.28,4.98
137,59.94,22.6,32.24,12.36,20.24,6.76,12.7,4.6
138,55.3,20.02,31.5,11.38,19.3,5.94,12.68,3.96
139,50.0,18.58,27.78,10.1,16.72,5.84,10.56,3.78
140,42.84,17.62,24.66,9.22,14.68,5.34,9.48,3.58
141,38.92,15.76,23.18,8.06,14.14,4.44,8.84,3.56
142,37.22,15.7,21.32,7.66,13.14,4.3,8.26,2.68
143,34.14,13.84,20.28,7.22,11.46,4.14,7.5,3.06
144,30.24,11.88,17.12,6.42,10.02,4.1,6.7,2.54
145,28.26,10.28,16.14,5.8,10.36,3.4,5.96,2.52
146,25.96,10.66,14.92,5.28,9.24,2.78,5.46,2.06
147,23.06,9.6,14.52,4.58,8.64,2.88,5.32,1.92
148,21.36,8.5,12.72,4.32,7.22,2.6,4.72,1.76
149,20.42,7.46,11.92,4.16,6.9,2.06,3.94,1.36
150,18.36,6.92,9.96,3.94,6.5,2.08,4.14,1.16
151,17.12,6.66,9.72,3.52,5.94,2.02,3.48,1.4
152,15.34,6.2,9.36,3.16,5.98,1.74,3.24,1.2
153,13.6,6.5,8.62,2.48,5.44,1.84,3.04,1.28
154,13.1,5.7,7.38,2.52,4.56,1.22,3.18,1.12
155,11.24,4.36,6.32,2.02,4.4,1.18,2.46,1.14
156,9.52,4.54,5.92,2.1,3.46,1.38,2.4,0.98
157,9.42,4.12,5.62,1.94,3.4,0.88,2.12,0.78
158,8.28,3.42,4.96,1.7,3.7,1.12,2.12,0.74
159,7.44,3.0,5.28,1.74,2.62,1.12,1.92,0.86
160,7.48,3.26,4.2,1.52,2.68,0.9,1.34,0.46
161,6.32,2.82,3.86,1.6,2.36,0.68,1.5,0.62
162,6.2,2.7,3.26,1.26,2.32,0.62,1.02,0.54
163,5.36,2.32,3.02,1.18,2.18,0.36,1.22,0.48
164,5.08,2.2,2.64,1.2,2.06,0.58,1.08,0.36
165,5.42,2.04,2.52,1.18,1.78,0.58,1.0,0.46
166,4.52,1.54,2.0,0.96,1.5,0.36,1.26,0.32
167,4.28,1.56,2.5,0.78,1.62,0.5,1.38,0.44
168,3.42,1.48,1.86,0.68,1.16,0.26,0.86,0.26
169,3.9,1.6,1.96,0.7,1.34,0.3,0.68,0.26
170,2.96,1.24,1.62,0.7,1.12,0.32,0.74,0.16
171,3.02,1.06,1.64,0.62,0.94,0.2,0.7,0.3
172,2.78,0.98,1.48,0.48,0.8,0.28,0.84,0.3
173,2.32,0.98,1.56,0.42,0.84,0.2,0.44,0.24
174,2.24,0.82,1.22,0.52,0.92,0.28,0.46,0.24
175,2.24,0.46,1.1,0.38,0.72,0.16,0.44,0.22
176,1.54,0.92,0.96,0.36,0.48,0.24,0.5,0.26
177,1.52,0.74,1.1,0.28,0.54,0.24,0.42,0.04
178,1.66,0.46,1.16,0.24,0.42,0.14,0.26,0.04
179,1.52,0.44,0.94,0.34,0.58,0.22,0.24,0.06
