step,R_SAR15,U_SAR15,R_SAR20,U_SAR20,R_SAR25,U_SAR25,R_SAR30,U_SAR30
84,3948.14,3928.14,4118.62,2433.16,3568.16,1402.96,2900.4,807.1
85,3973.84,3752.76,3957.44,2192.04,3347.78,1245.54,2649.72,718.06
86,3943.84,3549.3,3807.02,1982.5,3123.24,1119.44,2400.02,635.74
87,3916.24,3333.3,3611.08,1770.88,2879.9,995.9,2175.46,578.14
88,3883.02,3110.72,3436.64,1577.64,2653.18,888.18,1935.52,513.72
89,3819.0,2879.0,3222.52,1407.8,2406.52,799.46,1742.94,459.2
90,3710.2,2647.98,2998.58,1255.88,2194.14,723.52,1562.28,416.0
91,3601.1,2446.68,2774.84,1122.08,1985.66,651.04,1399.6,372.34
92,3503.26,2241.5,2557.18,1003.58,1796.5,587.46,1246.04,334.48
93,3355.14,2027.16,2328.56,896.0,1597.16,525.66,1113.52,306.12
94,3221.2,1838.72,2121.74,802.02,1437.12,470.36,982.08,276.78
95,3046.26,1648.06,1915.12,713.54,1282.82,428.82,872.08,248.76
96,2859.98,1483.32,1727.92,638.84,1140.24,379.42,781.46,228.08
97,2692.08,1333.86,1555.22,575.36,1008.66,342.78,700.04,203.66
98,2508.3,1193.84,1393.62,512.16,907.46,311.98,633.8,187.4
99,2336.02,1062.48,1246.62,454.68,812.5,277.1,567.66,166.3
100,2153.1,949.12,1099.74,408.72,732.48,251.04,520.94,154.48
101,1988.46,838.84,988.72,365.12,659.74,226.9,477.84,142.46
102,1806.92,745.78,881.78,332.32,598.82,204.88,439.54,127.2
103,1665.04,663.76,787.12,298.14,541.3,188.44,408.78,113.26
104,1515.16,593.2,700.42,267.86,498.84,166.94,376.36,106.06
105,1380.4,523.38,631.64,244.24,456.5,153.6,361.08,92.62
106,1259.5,463.5,571.82,217.26,416.64,139.54,332.94,87.34
107,1150.98,413.66,509.18,197.08,387.58,127.08,312.14,78.7
108,1028.0,374.22,459.92,175.64,361.62,114.7,296.42,72.44
109,939.12,329.94,414.3,161.34,332.74,106.2,284.84,63.9
110,841.82,297.42,379.16,146.06,311.56,95.66,266.04,60.18
111,762.38,267.28,352.3,135.56,296.54,87.08,251.84,54.4
112,683.22,241.42,325.96,121.06,276.8,76.24,240.18,48.48
113,624.94,217.46,299.46,111.54,262.7,70.76,221.16,44.8
114,572.32,195.08,288.14,99.68,249.46,64.38,208.74,41.68
115,515.42,173.46,267.12,89.54,231.06,57.9,195.92,35.3
116,466.0,159.3,253.4,84.02,217.84,53.2,183.62,32.68
117,425.38,144.36,244.54,74.5,205.24,49.58,170.78,29.38
118,395.82,128.84,232.42,69.34,188.5,44.64,159.96,28.6
119,361.32,119.7,219.08,62.28,177.04,40.74,142.34,24.56
120,341.72,108.1,213.38,58.06,160.16,37.54,132.88,22.18
121,321.04,99.24,202.04,53.2,150.28,32.92,116.32,19.74
122,298.24,91.84,193.84,46.28,137.06,29.84,107.0,18.46
123,281.96,81.0,185.88,44.62,126.06,28.06,95.82,17.4
124,262.82,73.88,174.28,41.28,110.18,25.78,84.14,15.5
125,246.9,68.28,168.8,36.16,99.08,23.34,74.48,14.08
126,234.58,61.6,163.32,32.32,91.48,21.7,68.38,12.34
127,221.48,56.36,150.84,31.12,77.9,19.16,59.26,11.92
128,209.34,51.78,144.36,28.16,73.56,17.1,52.24,11.26
129,198.64,48.56,135.52,25.22,63.78,14.82,49.58,9.34
130,186.72,42.14,125.32,23.0,57.76,15.02,41.9,8.92
131,175.96,39.36,112.06,21.8,51.86,13.38,37.0,8.8
132,164.38,36.88,104.04,19.12,46.5,13.96,32.3,7.86
133,152.96,34.64,95.14,18.82,40.08,11.46,30.22,6.86
134,140.34,30.42,83.48,16.42,36.98,10.02,26.98,6.76
135,132.3,27.24,76.38,14.64,33.48,8.74,25.26,5.6
136,123.02,26.54,70.42,13.4,28.66,8.34,22.84,5.22
137,115.04,22.98,60.06,12.16,26.4,7.3,18.9,4.44
138,104.42,21.68,54.38,11.12,22.96,7.38,18.7,4.48
139,99.46,20.36,50.06,9.76,22.44,6.32,16.58,3.78
140,86.98,18.1,43.3,9.0,20.14,6.12,16.18,3.14
141,81.04,15.76,37.52,8.32,17.54,6.4,14.16,3.2
142,74.84,14.38,33.2,7.32,16.42,5.52,13.06,3.26
143,65.3,13.16,30.64,7.12,15.08,4.4,11.88,2.94
144,58.9,11.86,26.88,6.7,13.46,3.92,10.62,2.54
145,54.4,11.12,24.2,5.56,12.38,3.16,9.98,2.36
146,47.9,10.58,21.06,5.18,11.7,3.22,9.28,2.16
147,43.16,9.44,19.98,5.52,10.56,3.24,7.98,1.88
148,36.94,8.78,17.92,4.36,9.2,3.3,7.12,1.54
149,33.02,8.84,15.88,4.52,8.28,2.6,6.68,1.36
150,31.7,7.4,13.98,3.44,7.56,2.46,5.9,1.26
151,27.86,5.98,13.94,3.24,7.06,2.16,6.08,1.06
152,25.56,5.72,12.66,3.54,6.3,1.84,4.9,1.3
153,22.24,5.78,11.6,2.92,6.54,2.14,4.72,1.18
154,21.6,4.94,10.3,2.66,4.98,1.6,4.18,1.22
155,19.54,4.52,9.42,2.58,4.68,1.72,4.14,0.96
156,18.3,4.06,8.68,2.76,4.82,1.26,3.22,0.7
157,15.64,3.72,8.54,2.08,3.74,1.16,3.1,0.94
158,14.56,3.64,7.12,1.86,3.76,1.04,3.12,0.6
159,13.84,3.4,6.18,1.72,3.4,1.1,2.32,0.58
160,12.12,3.22,6.34,1.72,3.0,0.82,2.0,0.66
161,10.18,2.52,5.3,1.72,3.06,1.02,2.3,0.86
162,9.54,2.38,5.0,1.24,2.36,0.68,1.68,0.4
163,8.58,2.4,3.8,1.24,2.76,0.74,1.74,0.42
164,7.32,2.28,4.12,1.28,2.38,0.8,1.58,0.76
165,6.92,1.74,3.66,1.0,1.72,0.54,1.62,0.48
166,6.84,1.9,3.92,0.94,1.98,0.56,1.02,0.36
167,6.12,1.46,2.96,0.92,1.68,0.56,1.26,0.18
168,5.48,1.28,2.92,0.82,1.66,0.4,1.56,0.22
169,5.44,1.28,2.3,0.74,1.58,0.48,1.0,0.46
170,4.6,1.0,2.28,0.52,0.9,0.56,1.08,0.16
171,4.22,1.28,2.06,0.68,1.26,0.3,0.86,0.14
172,3.9,0.98,2.08,0.46,0.96,0.3,1.0,0.12
173,3.74,1.0,1.8,0.34,0.64,0.28,0.92,0.14
174,3.4,1.12,1.58,0.38,0.88,0.22,0.64,0.24
175,3.1,0.74,1.24,0.44,0.92,0.24,0.48,0.18
176,2.66,0.7,1.02,0.48,0.76,0.24,0.66,0.16
177,2.84,0.68,1.32,0.22,0.64,0.2,0.38,0.12
178,2.14,0.6,0.9,0.52,0.72,0.32,0.56,0.08
179,1.8,0.52,1.12,0.22,0.52,0.08,0.4,0.1
