config,R_AR_pct,U_AR_pct,diff_AR_pp,R_peak,U_peak,peak_diff_pct
FULL,99.94729749130501,99.97767784781108,0.03038035650607185,29880.8,31123.2,4.157853872720949
FWS,79.84985805519408,90.02246108674609,10.172603031552015,3612.4,15039.6,316.3326320451777
FW,30.32200399205295,69.89139948779459,39.56939549574164,652.6,10164.4,1457.523751149249
FAM,0.008150827355291046,0.0068541048214965095,-0.0012967225337945365,8.6,7.0,-18.604651162790695
