SAR_pct,beta_family,seed,R_AR,U_AR,R_peak,U_peak,R_day,U_day,R_inactive_AR,U_inactive_AR,R_employed_AR,U_employed_AR,R_student_AR,U_student_AR
15,0.0161,0,0.6919051346056769,0.7100547870345071,4427,4928,97,85,0.2301280936648699,0.27435228655885935,0.999007180937874,1.0,0.9992874193893184,0.9998396693625966
15,0.0161,1,0.6926137074103749,0.7121064063317695,4314,4930,84,78,0.23240016229061614,0.27961513939604704,0.9992519856381242,0.9999455989555,0.998200733958029,0.9997149677557273
15,0.0161,2,0.6924377220079008,0.7105132753198997,4345,4863,87,73,0.2314611951544659,0.27558105836666086,0.9992519856381242,1.0,0.9989667581145117,0.9997149677557273
15,0.0161,3,0.6921922686833977,0.7115923437087535,4311,4827,93,75,0.22981510461948645,0.2783631832145134,0.9998095963442498,0.9999455989555,0.9998218548473295,0.9996615242099263
15,0.0161,4,0.6922756301898327,0.7109069268780652,4412,4975,89,80,0.2301976467860662,0.2766127629977395,1.0,0.9998367968664998,0.9993052339045855,0.9998574838778637
15,0.0161,5,0.6919375529692906,0.7114163583062794,4435,5125,92,84,0.2299078421144149,0.27774879731061264,0.9998639973887499,1.0,0.9986282823244379,0.9998574838778637
15,0.0161,6,0.6918217730992419,0.7116201308775651,4448,4954,82,78,0.23056859676577987,0.27839795977511156,0.9995375911217496,0.9998503971276248,0.9975950404389496,0.9998396693625966
15,0.0161,7,0.6916735748655796,0.7106985231119777,4400,5006,79,76,0.23058018895264593,0.2759636005332406,0.998979980415624,0.9999591992166249,0.997737556561086,0.9998931129083978
15,0.0161,8,0.6919329217744886,0.7107077855015815,4429,4851,82,74,0.22960644525589752,0.2760331536544369,0.9998503971276248,0.9999863997388749,0.999091459721381,0.9997862258167955
15,0.0161,9,0.6935028968123487,0.7116803364099904,4430,5054,85,73,0.23331594505303427,0.2784675128963079,0.9997823958219998,0.9999863997388749,0.9995190080877899,0.9997862258167955
15,0.0161,10,0.691803248320034,0.7116108684879612,4364,5030,82,73,0.2299773952356112,0.27824726134585287,0.9992519856381242,0.99997279947775,0.9988064274771083,0.9998752983931307
15,0.0161,11,0.6923034173586444,0.7111801673713801,4415,4823,85,77,0.23161189358372458,0.27728510983597054,0.9995239908606245,1.0,0.9978622581679553,0.9996615242099263
15,0.0161,12,0.6922941549690405,0.7103836018654452,4457,4990,84,77,0.23107865298788616,0.2753376224424738,0.9995375911217496,1.0,0.9986282823244379,0.999590266148858
15,0.0161,13,0.6916967308395894,0.7104901193458901,4373,4983,89,80,0.22891091404393438,0.2753608068162059,0.9999455989555,1.0,0.999127088751915,0.9999643709694659
15,0.0161,14,0.6915022206579076,0.709008137009267,4458,4946,87,80,0.2294441546397728,0.27187155856952416,0.9986263736263736,0.9998639973887499,0.9992874193893184,0.9998040403320626
15,0.0161,15,0.6912428737489985,0.7115275069815261,4321,5031,93,76,0.22903842809946096,0.2781545238509245,0.9999591992166249,0.9998367968664998,0.9971674920725407,0.9998752983931307
15,0.0161,16,0.6919329217744886,0.711444145475091,4497,5126,85,74,0.22981510461948645,0.27805019416913,1.0,0.9999455989555,0.9985748387786368,0.9995724516335911
15,0.0161,17,0.690237904476976,0.7115367693711301,4628,5048,85,82,0.2261867501304121,0.27810815510346026,0.9992927864214993,0.99997279947775,0.9985570242633698,0.9998040403320626
15,0.0161,18,0.6931879755658162,0.7109949195793023,4345,5051,95,83,0.23375644815394425,0.27682142236132845,0.9994151887716244,0.9998503971276248,0.9981116613816938,0.9998574838778637
15,0.0161,19,0.691196561800979,0.7101381485409421,4344,5008,78,75,0.229270271836782,0.2745377615487162,0.9991567838102492,1.0,0.9976841130152848,0.9998752983931307
15,0.0161,20,0.6929980965789364,0.7108976644884614,4519,5015,89,81,0.23213354199269692,0.2764272880078827,0.9999455989555,1.0,0.9991805322977162,0.9998931129083978
15,0.0161,21,0.6921042759821606,0.711985995266919,4367,4900,83,85,0.22983828899321856,0.27933692691126183,0.9994559895549995,0.9999455989555,0.9999109274236648,0.9996793387251933
15,0.0161,22,0.6908121726324175,0.7100964677877246,4654,4974,107,90,0.22712571726656233,0.27481597403350144,0.9999455989555,0.9999455989555,0.9984679516870346,0.9993586774503865
15,0.0161,23,0.6914651710994919,0.7114765638387047,4393,4879,81,78,0.22913116559438937,0.2780270097953979,0.9984223697094984,1.0,0.9998931129083978,0.9996615242099263
15,0.0161,24,0.6936742510200207,0.7109902883845003,4346,5001,84,78,0.23345505129542687,0.27670550049266796,0.9999455989555,0.99997279947775,0.9997505967862614,0.9998574838778637
15,0.0161,25,0.6924377220079008,0.7104669633718803,4463,5108,94,76,0.23125253579087696,0.27544195212426825,0.9999863997388749,1.0,0.9983254355648983,0.9997505967862614
15,0.0161,26,0.6915300078267193,0.7113005784362307,4389,4986,91,84,0.23038312177592302,0.27748217701269345,0.9983543684038734,0.9999591992166249,0.9983076210496312,0.9998752983931307
15,0.0161,27,0.6915439014111251,0.7096611354763416,4475,4981,84,81,0.22913116559438937,0.2737494928418246,0.9999455989555,0.9995919921662496,0.998200733958029,0.9997862258167955
15,0.0161,28,0.6919329217744886,0.7098926952164388,4223,4856,90,83,0.23059178113951198,0.27403929751347594,0.9991295832879992,0.9998503971276248,0.9985213952328357,0.9998931129083978
15,0.0161,29,0.6906315560351415,0.7114858262283086,4499,4892,128,94,0.22814582971077493,0.2782936300933171,0.9992383853769993,0.9997823958219998,0.9971318630420066,0.9995724516335911
15,0.0161,30,0.6919329217744886,0.7115089822023184,4558,5025,88,80,0.2295832608821654,0.2780038254216658,0.9998367968664998,1.0,0.9991449032671821,0.9998218548473295
15,0.0161,31,0.6916133693331543,0.7122175550070162,4601,4959,87,78,0.2298266968063525,0.2797774300121718,0.998993580676749,0.99997279947775,0.998646096839705,0.9998574838778637
15,0.0161,32,0.6926090762155729,0.7100362622552993,4417,4994,80,78,0.23069611082130645,0.2743986553063235,1.0,1.0,0.9998218548473295,0.9996971532404604
15,0.0161,33,0.6915439014111251,0.7106012680211368,4497,4902,88,83,0.22903842809946096,0.2757201646090535,0.9993743879882494,1.0,0.999091459721381,0.9998396693625966
15,0.0161,34,0.6920533328393392,0.7101844604889616,4434,4982,81,84,0.2299542108618791,0.2747696052860372,0.9992791861603743,1.0,0.9997684113015285,0.9996971532404604
15,0.0161,35,0.6922385806314171,0.7109763948000944,4513,5131,82,72,0.23165826233118877,0.27665913174520373,0.9994015885104994,1.0,0.9977019275305519,0.9998396693625966
15,0.0161,36,0.6917754611512223,0.710930082852075,4473,4977,84,72,0.22867907030661333,0.276496841129079,1.0,1.0,0.9997149677557273,0.9999109274236648
15,0.0161,37,0.6918773474368652,0.7111431178129646,4454,4940,84,84,0.23041789833652118,0.27714600359357794,0.9995511913828745,1.0,0.9980225888053587,0.9997327822709944
15,0.0161,38,0.6930768268905695,0.7123009165134513,4435,4844,84,71,0.23197125137657218,0.27995131281516256,0.9999455989555,0.9999863997388749,0.9997327822709944,0.9998931129083978
15,0.0161,39,0.6914003343722648,0.710504012930296,4483,4959,94,86,0.22885295310960413,0.2755462818060627,0.9994015885104994,0.9999455989555,0.9987886129618413,0.9998040403320626
15,0.0161,40,0.6917523051772126,0.7102215100473771,4292,4883,97,75,0.2289340984176665,0.2747000521648409,0.9998367968664998,1.0,0.9994477500267218,0.9999465564541988
15,0.0161,41,0.6917800923460243,0.7111292242285587,4287,5008,80,74,0.22945574682663886,0.27713441140671186,0.9998367968664998,0.9999455989555,0.9987529839313072,0.9997684113015285
15,0.0161,42,0.6914142279566706,0.7107679910340068,4419,4893,83,70,0.22813423752390888,0.27655480206340927,0.9997143945163747,0.9995919921662496,0.999536822603057,0.9997327822709944
15,0.0161,43,0.6912104553853848,0.7099297447748545,4393,4867,85,77,0.22758940474120443,0.27416681156900247,0.9995375911217496,0.9999863997388749,0.9998218548473295,0.9996615242099263
15,0.0161,44,0.6939521227081376,0.7103974954498511,4422,4929,90,75,0.2347649684112908,0.2752564771344114,0.9995375911217496,1.0,0.9993408629351196,0.9997684113015285
15,0.0161,45,0.6927017001116118,0.7111847985661821,4568,4970,80,77,0.2315539326493943,0.2772735176491045,0.9993063866826243,0.9999455989555,0.9997684113015285,0.9997684113015285
15,0.0161,46,0.6924330908130989,0.7111245930337569,4504,4984,85,80,0.2309975076798238,0.2769837129774532,0.9998367968664998,1.0,0.9988955000534435,0.9999109274236648
15,0.0161,47,0.6923080485534463,0.709536093216689,4252,4912,96,79,0.2312873123514751,0.27357561003883385,0.998993580676749,0.9999455989555,0.999073645206114,0.999109274236648
15,0.0161,48,0.6923404669170599,0.7101103613721305,4462,5163,88,81,0.23115979829594854,0.2744798006143859,0.9999455989555,0.9999591992166249,0.9981472904122278,0.9999109274236648
15,0.0161,49,0.6919514465536964,0.7106985231119777,4678,5165,84,74,0.2292007187155857,0.27604474584130295,1.0,0.9999455989555,0.999590266148858,0.9997862258167955
20,0.0221,0,0.7067897946991344,0.7326411240836024,4719,5622,83,72,0.2679765837825306,0.33104967252072104,0.9995919921662496,0.99997279947775,0.9976128549542167,0.9996258951793922
20,0.0221,1,0.7097583905671825,0.7321316926553882,4930,5509,76,70,0.2743638787457254,0.32954268822813426,0.9999455989555,1.0,0.9987529839313072,0.9999465564541988
