id,onoma,long,lat
696,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΝΙΦΟΡΕΙΚΩΝ,21.524506,38.143041
697,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΜΙΝΤΙΛΟΓΛΙΟΥ,,
698,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΡΙΟΛΟΥ,21.465131,38.056794
699,57ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΑΤΡΑΣ,21.744605,38.248781
700,1ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΑΤΡΑΣ ΕΙΔΙΚΟ,21.75731,38.270717
701,2ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΒΑΡΘΟΛΟΜΙΟΥ,21.206938,37.860173
702,64ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΑΤΡΑΣ,21.739624,38.264112
703,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΓΕΛΟΚΑΣΤΡΟΥ ΜΕΣΟΛΟΓΓΙΟΥ,21.298558,38.56609
704,4ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΜΕΣΟΛΟΓΓΙΟΥ,,
705,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΙΤΣΙΝΕΙΚΩΝ ΝΑΥΠΑΚΤΙΑΣ,21.741237,38.437599
706,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΑΛΙΑΜΠΕΛΩΝ ΑΜΦΙΛΟΧΙΑΣ,20.952498,38.911741
707,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΛΑΝΤΖΟΙΟΥ ΠΥΡΓΟΥ,21.561967,37.70662
708,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΑΛΑΙΟΒΑΡΒΑΣΑΙΝΗΣ ΠΥΡΓΟΥ,21.524563,37.677404
709,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΜΕΝΙΔΙΟΥ ΑΜΦΙΛΟΧ,21.119691,39.041091
710,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΜΑΡΛΕΣΙΟΥ ΑΜΦΙΛΟΧ,,
711,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΜΑΥΡΟΜΑΤΙΟΥ ΜΕΙΟΝΟΤΙΚΟ,,
712,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΜΑΡΑΝΤΩΝ ΜΕΙΟΝΟΤΙΚΟ,25.498014,41.04931
713,58ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΑΤΡΑΣ,21.741766,38.256716
714,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΓΟΜΟΣΤΟΥ,,
715,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΟΧΘΙΩΝ ΒΑΛΤΟΥ,21.287162,38.6565
716,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΕΡΑΤΙΑΣ,20.743843,38.821607
717,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΡΧΑΙΑΣ ΟΛΥΜΠΙΑΣ ΠΥΡΓΟΥ,21.626401,37.642885
718,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΒΑΣΙΛΕΙΟΥ,,
719,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΡΕΣΤΕΝΩΝ ΕΙΔΙΚΟ,,
720,9ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΥΡΓΟΥ,,
721,1ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΡΙΣΒΗΣ ΜΕΙΟΝΟΤΙΚΟ,25.59052,41.069011
722,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΑΝΔΡΕΟΥ ΜΕΣΟΛΟΓΓΙΟΥ,21.554606,38.526109
723,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΜΗΛΕΩΝ ΠΥΡΓΟΥ,21.695764,37.734244
724,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΦΥΤΕΙΩΝ ΞΗΡΟΜΕΡΟΥ,21.185233,38.693698
725,14ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΑΤΡΑΣ,21.715476,38.213542
726,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΡΟΔΡΟΜΟΥ,,
727,27ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΑΤΡΑΣ,21.73253,38.236524
728,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΑΤΩ ΑΛΙΣΣΟΥ,21.576316,38.140394
729,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΣΙΤΟΜΕΝΩΝ,21.534179,38.716884
730,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΝΑΥΠΑΚΤΟΥ ΕΙΔΙΚΟ,,
731,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΟΝΟΠΙΝΑΣ ΞΗΡΟΜΕΡΟΥ,21.132507,38.750447
732,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΑΥΚΩΝΙΑΣ ΠΥΡΓΟΥ,21.616405,37.685983
733,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΣΚΟΤΑΝΗΣ ΚΑΛΑΒΡΥΤΩΝ,,
734,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΡΑΤΟΥ ΜΕΙΟΝΟΤΙΚΟ,25.55365,41.081213
735,12ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΑΤΡΑΣ,21.732506,38.236618
736,10ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΑΤΡΑΣ,21.728838,38.241068
737,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΣΤΡΑΤΟΥ ΒΑΛΤΟΥ ΑΜΦΙΛΟΧΙΑΣ,21.32017,38.671483
738,5ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΝΑΥΠΑΚΤΟΥ,,
739,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΛΑΓΙΑΣ,20.780482,38.805978
740,2ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΡΙΝΙΟΥ ΕΙΔΙΚΟ,,
741,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΜΑΛΙΑΔΑΣ,,
742,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΔΟΚΟΥ ΜΕΙΟΝΟΤΙΚΟ,,
743,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΛΕΣΙΝΙΟΥ ΞΗΡΟΜΕΡΟΥ,21.230196,38.452116
744,4ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΡΙΝΙΟΥ,21.404994,38.623768
745,3ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΡΙΝΙΟΥ,21.410697,38.61937
746,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΜΕΣΗΜΒΡΙΑΣ ΜΕΙΟΝΟΤΙΚΟ,,
747,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΔΙΚΕΛΩΝ ΜΕΙΟΝΟΤΙΚΟ,,
748,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΑΝΔΗΛΑΣ,20.940206,38.703102
749,5ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΡΙΝΙΟΥ,21.406262,38.62828
750,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΔΟΚΙΜΙΟΥ ΤΡΙΧΩΝΙΔΑΣ,21.382037,38.614634
751,"2ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΝΑΥΠΑΚΤΟΥ ""ΓΙΑΝΝΗΣ ΒΛΑΧΟΓΙΑΝΝΗΣ""",,
752,6ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΜΕΣΟΛΟΓΓΙΟΥ,,
753,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΛΚΥΟΝΗΣ ΜΕΙΟΝΟΤΙΚΟ,,
754,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΑΣ ΣΟΦΙΑΣ,21.647748,38.581488
755,3ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΜΕΣΟΛΟΓΓΙΟΥ,21.434995,38.374733
756,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΡΙΓΑΝΗΣ ΞΗΡΟΜΕΡΟΥ,21.239361,38.580076
757,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΒΕΛΟΧΩΡΙΟΥ ΜΕΙΟΝΟΤΙΚΟ,,
758,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΑΤΩ ΤΡΑΓΑΝΑΣ ΠΑΡΑΒΟΛΑΣ,21.56626,38.67626
759,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΑΡΑΒΟΛΑΣ,21.52544,38.613041
760,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΕΤΡΟΧΩΡΙΟΥ,21.650333,38.544587
761,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΑΜΑΡΟΥΛΑΣ,21.446765,38.628465
762,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΥΨΕΛΗΣ,21.268618,38.682006
763,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΑΣΤΡΑΚΙΟΥ ΒΑΛΤΟΥ ΑΜΦΙΛΟΧΙ,21.3482,38.736497
764,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΧΡΥΣΟΒΙΤΣΗΣ,21.147363,38.586036
765,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΛΕΠΕΝΟΥΣ ΒΑΛΤΟΥ ΑΜΦΙΛΟΧΙΑΣ,21.291179,38.708956
766,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΔΟΥΝΑΙΙΚΩΝ,21.331961,37.739804
767,1ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΡΙΝΙΟΥ ΕΙΔΙΚΟ,,
768,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΛΑΝΘΙΟΥ ΠΥΡΓΟΥ,21.519415,37.703517
769,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΣΜΙΛΑ ΠΥΡΓΟΥ,21.554532,37.676962
770,1ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΑΝΑΙΤΩΛΙΟΥ,21.445999,38.579342
771,2ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΑΝΑΙΤΩΛΙΟΥ,21.445989,38.579329
772,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΜΑΚΡΥΡΡΑΧΗΣ,22.156407,39.086577
773,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΑΝΤΑΝΑΣΣΑΣ,21.560437,38.602143
774,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΛΕΥΚΑΣ ΤΡΙΧΩΝΙΔΑΣ,,
775,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΣΤΑΝΟΥ ΑΜΦΙΛΟΧ,21.174482,38.802099
776,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΛΑΤΑΝΟΥ ΣΑΜΟΥ,26.747298,37.736603
777,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΜΟΝΗΣ ΑΓ ΝΙΚΟΛΑΟΥ ΣΠΑΤΩΝ,,
778,37ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΑΤΡΑΣ,21.727145,38.235172
779,18ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΑΤΡΑΣ,21.725918,38.2142
780,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΣΑΡΔΗΝΙΩΝ ΑΜΦΙΛΟΧ,21.203712,38.890142
781,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΝΕΜΟΥΤΑΣ ΠΥΡΓΟΥ,21.793666,37.698585
782,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΕΦΑΛΟΒΡΥΣΟΥ ΑΙΤΩΛΙΚΟΥ ΜΕΣ,,
783,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΑΛΥΒΙΩΝ ΑΣΤΡΑ ΠΥΡΓΟΥ,,
784,62ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΑΤΡΑΣ,21.763497,38.280077
785,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΓΑΥΡΟΛΙΜΝΗΣ ΝΑΥΠΑΚΤΙΑΣ,21.626713,38.382647
786,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΓΟΥΡΙΩΤΙΣΣΑΣ ΞΗΡΟΜΕΡΟΥ,21.224455,38.613408
787,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΧΕΛΙΔΟΝΙΟΥ ΠΥΡΓΟΥ,21.623075,37.712651
788,56ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΑΤΡΑΣ,21.741682,38.256551
789,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΝΑΝΤΩΝ,21.62295,37.820887
790,31ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΑΤΡΑΣ,21.739186,38.254754
791,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΝΙΚΟΛΑΟΥ,21.457711,38.636953
792,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΑΝΑΛΟΥ ΒΑΛΤΟΥ ΑΜΦΙΛΟΧΙΑΣ,,
793,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΤΡΙΚΟΡΦΟΥ ΝΑΥΠΑΚΤΙΑΣ ΜΕΣ,21.641513,38.409121
794,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΜΟΡΓΙΑΝΩΝ,21.361126,38.864847
795,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΜΠΟΥΚΑΣ ΑΜΦΙΛΟΧ,,
796,2ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΝΕΑΠΟΛΗΣ,,
797,3ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΝΑΥΠΑΚΤΟΥ,21.837463,38.394146
798,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΓΕΩΡΓΙΟΥ ΚΑΛΥΒΙΩΝ ΤΡ,,
799,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΘΕΡΜΟΥ,21.667849,38.572051
800,2ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΜΥΡΤΕΑΣ,21.61803,38.586624
801,1ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΜΥΡΤΕΑΣ,21.617898,38.586377
802,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΑΤΩ ΧΡΥΣΟΒΙΤΣΗΣ,21.7026,38.559195
803,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΑΛΥΒΙΩΝ ΤΡΙΧΩΝΙΔΑΣ,21.294282,38.616129
804,11ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΡΙΝΙΟΥ,21.409599,38.616647
805,9ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΡΙΝΙΟΥ,,
806,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΑΤΩ ΜΑΚΡΥΝΟΥΣ ΜΕΣΟΛΟΓΓΙΟΥ,21.62438,38.486621
807,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΑΚΟΒΑΤΟΥ ΟΛΥΜΠΙΑΣ,21.644426,37.457895
808,2ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΜΦΙΛΟΧΙΑΣ,21.162018,38.860301
809,1ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΜΦΙΛΟΧΙΑΣ,21.162018,38.860301
810,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΝΩ ΚΕΡΑΣΟΒΟΥ,21.445438,38.487706
811,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΛΑΤΑΝΟΥ ΚΑΛΥΒΙΩΝ ΤΡΙΧΩΝΙΔ,,
812,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΜΑΛΕΣΙΑΔΑΣ ΑΜΦΙΛΟΧΙΑΣ,21.333611,38.90002
813,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΓΡΥΛΛΟΥ ΟΛΥΜΠΙΑΣ,21.670916,37.579479
814,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΒΡΙΝΑΣ ΟΛΥΜΠΙΑΣ,21.639011,37.56869
815,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΣΚΟΥΤΕΡΑΣ,21.475437,38.68661
816,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΛΑΣΤΑΙΙΚΩΝ ΠΥΡΓΟΥ,21.409059,37.693607
817,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΛΕΙΤΟΡΙΑΣ ΚΑΛΑΒΡΥΤΩΝ,22.124863,37.893873
818,3ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΑΡΑΛΙΑΣ,,
819,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΧΡΥΣΟΠΗΓΗΣ,,
820,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΧΡΥΣΟΒΕΡΓΙΟΥ ΜΕΣΟΛΟΓΓΙΟΥ,21.352139,38.496607
821,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΟΥΝΙΝΑΣ ΑΙΓΙΑΛΕΙΑΣ,22.022852,38.192674
822,6ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΡΙΝΙΟΥ,21.402611,38.62237
823,7ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΡΙΝΙΟΥ,,
824,1ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΚΩΝΣΤΑΝΤΙΝΟΥ,21.399372,38.633882
825,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΓΙΑΝΝΟΥΖΙΟΥ ΑΓΡΙΝΙΟΥ,,
826,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΓΕΩΡΓΙΟΥ ΜΕΣΟΛΟΓΓΙΟΥ,21.541545,38.394311
827,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΛΟΥΤΡΟΥ ΑΜΦΙΛΟΧ,,
828,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΕΧΡΙΝΙΑΣ ΑΜΦΙΛΟΧ,,
829,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΒΑΛΜΑΝΤΟΥΡΑΣ ΠΑΤΡΑΣ,,
830,8ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΡΙΝΙΟΥ,21.402238,38.629075
831,2ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΚΩΝΣΤΑΝΤΙΝΟΥ,21.39936,38.633834
832,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΑΛΛΙΘΕΑΣ,,
833,1ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΘΕΣΤΙΕΩΝ,,
834,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΔΙΑΜΑΝΤΑΙΙΚΩΝ ΤΡΙΧΩΝΙΔΑΣ,,
835,13ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΡΙΝΙΟΥ,,
836,12ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΡΙΝΙΟΥ,21.400516,38.627986
837,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΡΥΟΥ ΝΕΡΟΥ,21.568516,38.664806
838,1ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΡΙΝΙΟΥ,21.401992,38.620493
839,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΝΕΑΣ ΑΒΟΡΑΝΗΣ,21.446863,38.607408
840,2ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΡΙΝΙΟΥ,21.411658,38.626014
841,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΜΑΧΑΙΡΑ,21.151521,38.630374
842,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΒΑΡΕΤΑΔΑΣ ΑΜΦΙΛΟΧΙΑΣ,21.289285,38.867392
843,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΛΙΝΔΙΑΣ ΠΥΡΓΟΥ,21.682405,37.781711
844,2ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΑΤΟΧΗΣ ΞΗΡΟΜΕΡΟΥ,21.256422,38.410412
845,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΑΣ ΜΑΥΡΑΣ,,
846,5ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΜΕΣΟΛΟΓΓΙΟΥ,,
847,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΓΟΥΡΙΑΣ ΜΕΣΟΛΟΓΓΙΟΥ,21.262821,38.470834
848,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΣΕΛΙΝΟΥΝΤΟΣ ΑΙΓΙΑΛΕΙΑΣ,22.096642,38.220039
849,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΡΕΤΗΣ ΛΕΧΑΙΝΩΝ,21.30361,37.974659
850,1ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΑΤΟΧΗΣ ΞΗΡΟΜΕΡΟΥ,21.256481,38.410392
851,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΜΕΓΑΝΙΤΗ,,
852,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΜΠΑΜΠΙΝΗΣ ΞΗΡΟΜΕΡΟΥ,21.148256,38.655395
853,2ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΙΤΩΛΙΚΟΥ,21.269798,38.485564
854,1ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΝΑΥΠΑΚΤΟΥ,,
855,1ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΝΕΟΧΩΡΙΟΥ ΜΕΣΟΛΟΓΓΙΟΥ,21.276096,38.406673
856,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΜΑΣΤΡΟΥ ΜΕΣΟΛΟΓΓΙΟΥ,21.277576,38.435017
857,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΛΟΥΤΟΧΩΡΙΟΥ ΟΛΥΜΠΙΑΣ,,
858,1ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΙΤΩΛΙΚΟΥ,,
859,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΑΛΛΙΘΕΑΣ ΠΑΤΡΑΣ,,
860,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΣΤΑΚΟΥ,21.082605,38.534378
861,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΒΑΡΝΑΚΑ,20.989225,38.726845
862,3ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΟΒΡΥΑΣ,,
863,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΑΤΩ ΠΤΕΡΗΣ ΑΙΓΙΑΛΕΙΑΣ,22.074739,38.146203
864,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΛΑΤΑΝΙΩΤΙΣΣΗΣ ΚΑΛΑΒΡΥΤΩΝ,22.089673,38.107117
865,7ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΜΕΣΟΛΟΓΓΙΟΥ,,
866,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΒΟΛΙΜΩΝ,20.659063,37.874006
867,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΜΟΝΑΣΤΗΡΑΚΙΟΥ,20.944814,38.849615
868,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΑΛΑΙΟΜΑΝΙΝΑΣ,21.241748,38.548044
869,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΕΝΤΑΛΟΦΟΥ ΞΗΡΟΜΕΡΟΥ,21.244951,38.483759
870,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΡΟΔΡΟΜΟΥ ΞΗΡΟΜΕΡΟΥ,21.180513,38.596736
871,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΣΤΡΟΓΓΥΛΟΒΟΥΝΙΟΥ ΞΗΡΟΜΕΡΟΥ,21.214289,38.52679
872,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΕΡΤΕΖΗΣ ΚΑΛΑΒΡΥΤΩΝ,21.994444,37.978625
873,20ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΡΙΝΙΟΥ,21.415929,38.614467
874,2ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΜΕΣΟΛΟΓΓΙΟΥ,21.431144,38.377627
875,1ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΜΕΣΟΛΟΓΓΙΟΥ,,
876,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΚΤΑΙΟΥ ΠΑΤΡΑΣ,21.795577,38.302162
877,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΔΙΛΙΝΑΤΩΝ,20.517563,38.222755
878,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΕΛΕΠΑΠ ΑΓΡΙΝΙΟΥ ΕΙΔΙΚΟ,21.40824,38.621427
