id,onoma,long,lat
56,ΓΥΜΝΑΣΙΟ ΠΑΤΡΑΣ ΕΣΠΕΡΙΝΟ,21.735016,38.246016
57,ΓΥΜΝΑΣΙΟ ΚΑΜΑΡΩΝ ΑΧΑΙΑΣ,22.004081,38.299662
58,1ο ΓΥΜΝΑΣΙΟ ΠΑΤΡΑΣ,21.737544,38.254548
59,4ο ΓΥΜΝΑΣΙΟ ΠΥΡΓΟΥ,21.440605,37.664304
60,19ο ΓΥΜΝΑΣΙΟ ΠΑΤΡΑΣ,21.719914,38.212496
61,ΓΥΜΝΑΣΙΟ ΑΝΔΡΙΤΣΑΙΝΗΣ,21.907002,37.484598
62,ΓΥΜΝΑΣΙΟ ΖΑΧΑΡΩΣ,21.651403,37.485198
63,ΓΥΜΝΑΣΙΟ ΚΑΒΑΣΙΛΩΝ,21.267223,37.87576
64,ΓΥΜΝΑΣΙΟ ΑΜΑΛΙΑΔΑΣ ΕΣΠΕΡΙΝΟ,21.352591,37.794212
65,ΓΥΜΝΑΣΙΟ ΑΡΧΑΙΑΣ ΟΛΥΜΠΙΑΣ,21.627347,37.643048
66,ΓΥΜΝΑΣΙΟ ΧΑΒΑΡΙΟΥ ΗΛΕΙΑΣ,21.384307,37.841926
67,ΓΥΜΝΑΣΙΟ ΒΑΣΙΛΑΚΙΟΥ,21.763542,37.64918
68,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΛΑΤΗΣ ΟΡΕΣΤΙΑΔΑΣ,26.335512,41.627304
69,5ο ΓΥΜΝΑΣΙΟ ΠΑΤΡΑΣ,21.743396,38.235282
70,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΣΚΑΛΩΜΑΤΟΣ ΜΕΙΟΝΟΤΙΚΟ,,
71,ΓΥΜΝΑΣΙΟ ΕΡΥΜΑΝΘΕΙΑΣ,21.726656,37.980855
72,ΓΥΜΝΑΣΙΟ ΠΥΡΓΟΥ ΕΣΠΕΡΙΝΟ,21.431987,37.673709
73,ΓΥΜΝΑΣΙΟ ΣΑΡΑΒΑΛΙΟΥ,21.760574,38.189602
74,ΓΥΜΝΑΣΙΟ ΚΑΛΑΒΡΥΤΩΝ,22.112588,38.029761
75,13ο ΓΥΜΝΑΣΙΟ ΠΑΤΡΑΣ,21.753988,38.272891
76,15ο ΓΥΜΝΑΣΙΟ ΠΑΤΡΑΣ,21.752426,38.259639
77,ΓΥΜΝΑΣΙΟ ΝΕΟΧΩΡΙΟΥ ΗΛΕΙΑΣ,21.660071,37.434183
78,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΔΕΙΛΙΝΩΝ ΜΕΙΟΝΟΤΙΚΟ,,
79,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΣΙΔΗΡΟΥΣ ΜΕΙΟΝΟΤΙΚΟ,,
80,ΓΥΜΝΑΣΙΟ ΜΑΚΡΙΣΙΩΝ ΗΛΕΙΑΣ,21.606101,37.608133
81,ΓΥΜΝΑΣΙΟ ΚΡΕΣΤΕΝΩΝ,21.622652,37.593503
82,ΓΥΜΝΑΣΙΟ ΒΑΡΘΟΛΟΜΙΟΥ,21.207899,37.860054
83,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΡΙΑΝΗΣ ΜΕΙΟΝΟΤΙΚΟ,,
84,ΓΥΜΝΑΣΙΟ ΠΕΛΟΠΙΟΥ,21.594364,37.676214
85,3ο ΓΥΜΝΑΣΙΟ ΑΜΑΛΙΑΔΑΣ,21.350985,37.803061
86,ΓΥΜΝΑΣΙΟ ΣΑΒΑΛΙΩΝ ΗΛΕΙΑΣ,21.286332,37.821434
87,ΓΥΜΝΑΣΙΟ ΓΑΣΤΟΥΝΗΣ,21.247124,37.847231
88,2ο ΓΥΜΝΑΣΙΟ ΑΜΑΛΙΑΔΑΣ,21.346878,37.787958
89,ΓΥΜΝΑΣΙΟ ΚΑΤΟΥΝΑΣ,21.118707,38.784711
90,ΓΥΜΝΑΣΙΟ ΠΑΛΑΙΟΜΑΝΙΝΑΣ,21.242186,38.549056
91,ΓΥΜΝΑΣΙΟ ΝΕΟΧΩΡΙΟΥ ΑΙΤ/ΝΙΑΣ,21.277365,38.406867
92,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΡΑΣ ΜΕΙΟΝΟΤΙΚΟ,,
93,3ο ΓΥΜΝΑΣΙΟ ΠΑΤΡΑΣ,21.731494,38.2365
94,ΓΥΜΝΑΣΙΟ ΚΑΤΟΧΗΣ,21.257084,38.411165
95,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΑΣΣΟΥ ΜΕΙΟΝΟΤΙΚΟ,,
96,11ο ΓΥΜΝΑΣΙΟ ΠΑΤΡΑΣ,21.739307,38.219379
97,9ο ΓΥΜΝΑΣΙΟ ΠΑΤΡΑΣ,21.734726,38.2464
98,2ο ΓΥΜΝΑΣΙΟ ΑΙΓΙΟΥ,22.077976,38.248618
99,1ο ΓΥΜΝΑΣΙΟ ΜΕΣΟΛΟΓΓΙΟΥ,21.438158,38.378922
100,ΓΥΜΝΑΣΙΟ ΑΓΡΙΝΙΟΥ ΕΣΠΕΡΙΝΟ,21.4096,38.616794
101,6ο ΓΥΜΝΑΣΙΟ ΑΓΡΙΝΙΟΥ,21.404597,38.61924
102,ΓΥΜΝΑΣΙΟ ΚΑΛΥΒΙΩΝ ΤΡΙΧΩΝΙΔΑΣ,21.295198,38.617202
103,ΓΥΜΝΑΣΙΟ ΑΓΙΟΥ ΚΩΝΣΤΑΝΤΙΝΟΥ ΤΡΙΧΩΝΙΔΑΣ,21.39334,38.632645
104,ΓΥΜΝΑΣΙΟ ΚΑΙΝΟΥΡΓΙΟΥ,21.488519,38.604047
