profamMFR	NCOMP	ORDCOM_1	POSIND_1	RELPAR_1	SESSO_1	ETAM_1	tipnu2_1	numnu2_1	rpnuc2_1	ORDCOM_2	POSIND_2	RELPAR_2	SESSO_2	ETAM_2	tipnu2_2	numnu2_2	rpnuc2_2	ORDCOM_3	POSIND_3	RELPAR_3	SESSO_3	ETAM_3	tipnu2_3	numnu2_3	rpnuc2_3	ORDCOM_4	POSIND_4	RELPAR_4	SESSO_4	ETAM_4	tipnu2_4	numnu2_4	rpnuc2_4	ORDCOM_5	POSIND_5	RELPAR_5	SESSO_5	ETAM_5	tipnu2_5	numnu2_5	rpnuc2_5	ORDCOM_6	POSIND_6	RELPAR_6	SESSO_6	ETAM_6	tipnu2_6	numnu2_6	rpnuc2_6	ORDCOM_7	POSIND_7	RELPAR_7	SESSO_7	ETAM_7	tipnu2_7	numnu2_7	rpnuc2_7
021636	03	01	1	01	2	017	1	1	1	02	1	02	1	016	1	1	2	03	1	06	1	012	1	1	3	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
021637	04	01	1	01	2	012	1	1	1	02	1	03	1	013	1	1	2	03	1	06	1	002	1	1	3	04	1	05	2	017	0	0	0	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
021638	04	01	1	01	2	014	1	1	1	02	1	02	1	015	1	1	2	03	1	06	2	009	1	1	3	04	1	06	2	008	1	1	3	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
021639	04	01	1	01	2	013	1	1	1	02	1	02	1	014	1	1	2	03	1	06	2	007	1	1	3	04	1	06	2	006	1	1	3	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
021640	04	01	1	01	2	009	1	1	3	02	1	04	1	015	1	1	2	03	1	04	2	015	1	1	1	04	1	12	1	008	1	1	3	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
021641	03	01	1	01	2	008	1	1	3	02	1	04	1	014	1	1	2	03	1	04	2	015	1	1	1	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
021642	03	01	2	01	2	008	3	1	3	02	1	04	1	014	3	1	1	03	1	16	2	018	0	0	0	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
021643	02	01	1	01	2	017	2	1	1	02	1	02	1	017	2	1	2	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
021644	01	01	2	01	2	012	0	0	0	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
021645	04	01	1	01	2	012	1	1	1	02	1	02	1	012	1	1	2	03	1	06	2	003	1	1	3	04	1	06	1	002	1	1	3	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
021646	01	01	1	01	2	018	0	0	0	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
021647	04	01	1	01	1	009	1	1	2	02	1	02	2	009	1	1	1	03	1	06	2	003	1	1	3	04	1	06	1	002	1	1	3	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
021648	02	01	1	01	1	018	2	1	2	02	1	02	2	018	2	1	1	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
021649	03	01	1	01	1	017	1	1	2	02	1	02	2	017	1	1	1	03	1	06	1	010	1	1	3	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
021650	04	01	1	01	1	009	1	1	3	02	1	04	1	015	1	1	2	03	1	04	2	016	1	1	1	04	2	12	2	009	1	1	3	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
021651	02	01	1	01	1	017	2	1	2	02	1	02	2	017	2	1	1	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
021652	04	01	1	01	1	016	2	1	2	02	1	02	2	015	2	1	1	03	1	06	1	010	2	2	2	04	1	08	2	010	2	2	1	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
021653	01	01	1	01	1	017	0	0	0	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
021654	01	01	1	01	1	014	0	0	0	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
021655	02	01	1	01	1	012	0	0	0	02	1	16	2	018	0	0	0	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
021656	01	01	1	01	1	017	0	0	0	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
021657	04	01	1	01	1	013	1	1	2	02	1	02	2	012	1	1	1	03	1	06	1	004	1	1	3	04	1	06	2	004	1	1	3	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
021658	03	01	1	01	1	017	1	1	2	02	1	02	2	017	1	1	1	03	1	06	1	010	1	1	3	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
021659	02	01	1	01	1	016	2	1	2	02	1	02	2	016	2	1	1	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
021660	04	01	1	01	2	010	1	1	1	02	1	02	1	012	1	1	2	03	1	07	1	003	1	1	3	04	1	07	1	003	1	1	3	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
021661	03	01	1	01	2	011	4	1	1	02	1	06	2	003	4	1	3	03	1	12	2	011	0	0	0	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
021662	02	01	1	01	2	009	4	1	3	02	1	04	2	015	4	1	1	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
021663	06	01	1	01	2	012	1	1	1	02	1	02	1	013	1	1	2	03	1	07	1	005	1	1	3	04	1	07	1	004	1	1	3	05	1	04	2	017	4	2	1	06	1	12	1	011	4	2	3	  	 	  	 	   	 	 	 
021664	02	01	1	01	2	018	2	1	1	02	1	02	1	018	2	1	2	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
021665	05	01	1	01	2	015	1	1	1	02	1	02	1	015	1	1	2	03	1	07	2	011	4	2	1	04	1	07	1	009	1	1	3	05	1	10	2	001	4	2	3	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
021666	02	01	1	01	2	017	2	1	1	02	1	02	1	017	2	1	2	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
021667	04	01	1	01	2	011	1	1	1	02	1	02	1	012	1	1	2	03	1	06	1	008	1	1	3	04	1	06	2	004	1	1	3	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
021668	01	01	1	01	2	013	0	0	0	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
021669	04	01	1	01	2	014	1	1	1	02	1	02	1	014	1	1	2	03	1	07	1	005	1	1	3	04	1	07	2	004	1	1	3	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
021670	03	01	1	01	2	018	0	0	0	02	1	07	1	014	3	1	1	03	1	10	1	008	3	1	3	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
021671	03	01	1	01	2	010	1	1	1	02	1	02	1	010	1	1	2	03	1	07	1	001	1	1	3	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
021672	05	01	1	01	2	010	1	1	3	02	1	04	1	015	1	1	2	03	1	04	2	015	1	1	1	04	1	12	2	010	1	1	3	05	1	12	2	008	1	1	3	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
021673	02	01	1	01	1	013	2	1	2	02	1	02	2	013	2	1	1	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
021674	03	01	1	01	1	017	2	1	2	02	1	02	2	017	2	1	1	03	2	06	1	010	0	0	0	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
021675	01	01	1	01	1	009	0	0	0	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
021676	01	01	1	01	1	014	0	0	0	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
021677	03	01	1	01	1	018	1	1	2	02	1	02	2	017	1	1	1	03	1	06	1	014	1	1	3	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
021678	04	01	1	01	1	012	1	1	2	02	1	02	2	011	1	1	1	03	1	06	2	002	1	1	3	04	1	06	2	001	1	1	3	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
021679	01	01	1	01	1	012	0	0	0	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
021680	02	01	1	01	1	018	2	1	2	02	1	02	2	017	2	1	1	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
021681	01	01	1	01	2	018	0	0	0	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
021682	02	01	1	01	2	014	4	1	1	02	1	06	1	004	4	1	3	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
021683	04	01	1	01	2	013	1	1	1	02	1	02	1	014	1	1	2	03	1	06	2	006	1	1	3	04	1	06	1	003	1	1	3	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
021684	04	01	1	01	2	008	1	1	3	02	1	04	1	015	1	1	2	03	1	04	2	014	1	1	1	04	1	11	1	009	0	0	0	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
021685	02	01	1	01	2	018	2	1	1	02	1	02	1	018	2	1	2	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
021686	01	01	1	01	2	008	0	0	0	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
021687	02	01	1	01	2	014	4	1	1	02	1	06	1	008	4	1	3	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
021688	01	01	1	01	2	015	0	0	0	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
