step,new_exposed
0,14
1,11
2,11
3,26
4,29
5,52
6,31
7,46
8,48
9,67
10,98
11,101
12,143
13,194
14,174
15,264
16,273
17,331
18,380
19,507
20,490
21,616
22,782
23,916
24,1055
25,1215
26,1455
27,1729
28,1929
29,2341
30,2747
31,3166
32,3670
33,4163
34,5018
35,5604
36,6405
37,7046
38,7994
39,8450
40,9145
41,9078
42,9552
43,9791
44,9729
45,9317
46,8735
47,8160
48,6861
49,6148
50,5207
51,4193
52,3373
53,2737
54,2198
55,1813
56,1412
57,1243
58,1051
59,796
60,667
61,574
62,515
63,380
64,349
65,318
66,307
67,266
68,218
69,172
70,162
71,163
72,118
73,121
74,104
75,103
76,91
77,72
78,65
79,81
80,65
81,71
82,35
83,44
84,40
85,39
86,32
87,35
88,27
89,27
90,24
91,27
92,26
93,22
94,16
95,17
96,17
97,15
98,15
99,8
100,14
101,11
102,6
103,10
104,5
105,12
106,7
107,1
108,3
109,5
110,5
111,2
112,6
113,3
114,3
115,2
116,3
117,2
118,1
119,1
120,0
121,2
122,1
123,0
124,0
125,0
126,2
127,0
128,0
129,4
130,2
131,0
132,1
133,0
134,0
135,0
136,1
137,0
138,0
139,1
140,1
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,1
153,0
154,0
155,1
156,2
157,1
158,0
159,0
160,0
161,0
162,1
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,1
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
