level,location_id,name,sum,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+
8,2423703020301,"Απιδεών,ο",167,4,6,25,10,8,9,8,10,8,16,14,7,10,4,12,19
7,24237030204,Δημοτική Κοινότητα Αράξου,73,6,0,3,4,0,0,8,5,7,3,6,9,4,4,3,10
8,2423703020401,"Άραξος,ο",55,6,0,0,4,0,0,8,0,0,3,0,9,4,0,0,9
8,2423703020402,"Ακρωτήριο Αράξου,το",11,0,0,0,0,0,0,0,0,5,3,0,0,0,0,3,3
8,2423703020403,"Καλόγρια,η",3,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0
7,24237030205,Δημοτική Κοινότητα Βελιτσών,130,6,4,10,6,7,5,4,4,6,12,13,8,8,12,12,16
8,2423703020501,"Άνω Βελιτσαί,αι",65,5,0,5,0,0,3,7,0,3,3,5,4,4,7,7,10
8,2423703020502,"Κάτω Βελιτσαί,αι",63,3,3,3,6,3,0,0,3,5,7,4,0,6,3,7,9
7,24237030206,Δημοτική Κοινότητα Καγκαδίου,165,10,6,10,6,3,3,9,7,13,16,8,8,6,5,15,31
8,2423703020601,"Καγκάδιον,το",165,10,6,10,6,3,3,9,7,13,16,8,8,6,5,15,31
7,24237030207,Δημοτική Κοινότητα Λακκοπέτρας,375,23,15,20,19,13,20,25,19,21,27,25,28,16,24,21,48
8,2423703020701,"Λακκόπετρα,η",322,23,12,23,15,12,17,20,17,19,25,25,23,12,17,18,40
8,2423703020702,"Ιονική Ακτή,η",16,0,3,0,0,0,0,0,0,0,3,0,0,3,0,3,0
8,2423703020703,"Καρνάρι,το",30,3,0,0,0,3,0,3,5,0,0,0,3,3,0,0,4
8,2423703020704,"Λιμανάκι,το",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,24237030208,Δημοτική Κοινότητα Ματαράγκας,124,3,6,8,6,3,5,7,6,6,3,13,13,5,5,11,24
8,2423703020801,"Ματαράγκα,η",44,3,3,4,3,0,0,0,3,4,0,3,5,3,4,7,6
8,2423703020802,"Κεφαλαίικα,τα",78,3,5,6,0,0,5,5,0,4,3,15,4,4,3,6,16
7,24237030209,Δημοτική Κοινότητα Μιχοΐου,127,0,6,7,5,7,0,7,5,6,9,10,6,3,14,11,31
8,2423703020901,"Μιχόιον,το",87,0,6,5,5,3,0,3,3,5,5,6,5,3,6,9,19
8,2423703020902,"Κάνδαλος,ο",13,0,0,0,3,0,0,5,0,0,0,3,0,0,4,0,0
8,2423703020903,"Τσαμαίικα,τα",23,0,0,0,0,0,0,3,0,3,3,0,0,0,3,0,8
8,2423703020904,"Ψευτέικα,τα",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,24237030210,Δημοτική Κοινότητα Πέτα,98,0,3,5,6,4,4,0,4,5,4,8,6,6,10,16,16
8,2423703021001,"Πέτας,ο",98,0,3,5,6,4,4,0,4,5,4,8,6,6,10,16,16
7,24237030211,Δημοτική Κοινότητα Ριόλου,236,12,13,8,11,16,12,12,11,18,19,19,12,18,11,13,41
8,2423703021101,"Ρίολος,ο",234,12,13,8,11,12,12,12,11,18,19,15,12,18,11,13,41
8,2423703021102,"Μαζαίικα,τα",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,242370303,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΜΟΒΡΗΣ,2366,193,166,167,123,132,133,143,159,133,150,155,130,131,124,109,229
7,24237030301,Δημοτική Κοινότητα Σαγαιίκων,1026,118,86,85,74,85,72,50,55,53,47,56,43,36,45,44,65
8,2423703030101,"Σαγαίικα,τα",576,57,35,47,45,50,36,26,29,33,28,31,25,24,29,29,50
8,2423703030102,"Απόστολοι,οι",33,3,3,0,4,4,4,0,3,3,0,4,3,0,3,4,3
8,2423703030103,"Βραχναίικα,τα",7,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0
8,2423703030104,"Γερουσαίικα,τα",344,55,40,33,23,32,36,21,16,17,20,14,9,8,8,7,7
8,2423703030105,"Μπουταίικα,τα",51,0,3,4,3,0,4,3,7,7,3,6,4,5,3,3,6
8,2423703030106,"Σταθμός,ο",19,0,4,0,0,0,0,3,4,0,5,0,0,0,3,0,0
7,24237030302,Δημοτική Κοινότητα Καραιίκων,316,8,17,15,13,15,17,16,15,20,26,26,18,23,18,20,51
8,2423703030201,"Καραίικα,τα",70,0,3,3,3,0,6,0,0,3,7,8,7,4,3,8,10
8,2423703030202,"Γομοστόν,το",104,4,6,0,6,10,7,9,4,4,9,7,8,4,8,4,15
8,2423703030203,"Καραμεσιναίικα,τα",74,0,0,7,4,0,3,8,3,8,3,3,3,7,6,7,10
8,2423703030204,"Ράχη,η",70,3,5,3,3,3,4,0,0,3,6,4,5,4,3,3,13
7,24237030303,Δημοτική Κοινότητα Κρίνου,161,9,11,11,9,4,7,11,6,7,11,11,7,17,7,5,36
8,2423703030301,"Κρίνος,ο",161,9,11,11,9,4,7,11,6,7,11,11,7,17,7,5,36
7,24237030304,Δημοτική Κοινότητα Λιμνοχωρίου,586,51,47,41,15,15,20,46,62,40,38,42,31,32,30,29,40
8,2423703030401,"Λιμνοχώριον,το",194,10,4,14,7,10,3,11,14,10,22,20,14,12,14,11,22
