level,location_id,name,sum,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+
8,2423705020103,"Άνω Ψωφίς,η",7,0,0,0,0,0,0,0,0,0,3,0,0,3,3,4,3
8,2423705020104,"Βασιλική,η",5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
8,2423705020105,"Κάτω Τριπόταμα,τα",51,0,4,0,3,3,0,4,3,0,3,9,0,7,7,3,10
8,2423705020106,"Ψωφίς,η",22,0,0,0,3,0,0,0,0,0,0,3,3,0,3,0,7
7,24237050202,Δημοτική Κοινότητα Αγραμπέλων,61,0,4,0,0,0,3,3,0,4,0,5,3,5,8,7,12
8,2423705020201,"Πλατανίτσα,η",39,0,4,0,0,0,3,3,0,4,3,3,0,4,3,4,8
8,2423705020202,"Αγράμπελα,τα",19,0,0,0,0,0,3,3,0,0,0,0,0,3,3,4,7
7,24237050203,Δημοτική Κοινότητα Αγριδίου,35,0,0,3,0,0,0,0,0,0,0,0,0,0,11,4,9
8,2423705020301,"Αγρίδιον,το",35,0,0,3,0,0,0,0,0,0,0,0,0,0,11,4,9
7,24237050204,Δημοτική Κοινότητα Αλεσταίνης,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
8,2423705020401,"Αλέσταινα,η",7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
7,24237050205,Δημοτική Κοινότητα Αναστάσεως,33,0,0,3,6,0,0,0,0,3,0,4,3,3,3,3,7
8,2423705020501,"Ανάστασις,η",33,0,0,3,6,0,0,0,0,3,0,4,3,3,3,3,7
8,2423705020502,"Μονή Αγίων Θεοδώρων,η",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,24237050206,Δημοτική Κοινότητα Αροανίας,29,0,0,0,0,4,0,3,4,0,6,0,3,4,0,0,7
8,2423705020601,"Αροανία,η",29,0,0,0,0,4,0,3,4,0,6,0,3,4,0,0,7
7,24237050207,Δημοτική Κοινότητα Δεσινού,9,0,0,0,0,0,0,0,0,0,3,4,0,0,0,3,0
8,2423705020701,"Δεσινόν,το",9,0,0,0,0,0,0,0,0,0,3,4,0,0,0,3,0
7,24237050208,Δημοτική Κοινότητα Καμενιάνων,34,0,0,0,0,0,4,3,0,0,0,0,3,6,4,3,6
8,2423705020801,"Καμενιάνοι,οι",26,0,0,0,0,0,3,3,0,0,0,0,0,6,3,0,4
8,2423705020802,"Δροβολοβόν,το",10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4
7,24237050209,Δημοτική Κοινότητα Λεχουρίου,92,3,7,0,0,3,4,4,6,5,8,0,3,6,8,6,18
8,2423705020901,"Λεχούριον,το",71,3,3,0,0,0,3,4,6,4,8,3,3,6,9,4,18
8,2423705020902,"Κερασέα,η",19,0,3,0,0,3,3,0,0,0,3,0,4,3,0,0,3
7,24237050210,Δημοτική Κοινότητα Λιβαρτζίου,85,3,3,0,0,3,4,5,4,5,3,5,4,14,10,9,15
8,2423705021001,"Λιβάρτζιον,το",71,0,3,0,0,3,4,5,4,3,3,3,4,14,10,9,11
8,2423705021002,"Λιβάδιον,το",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2423705021003,"Λιβαρτζινόν,το",14,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,0
7,24237050211,Δημοτική Κοινότητα Πλάκας,49,0,3,0,3,6,3,7,4,0,3,0,4,6,7,4,3
8,2423705021101,"Πλάκα,η",49,0,3,0,3,6,3,7,4,0,3,0,4,6,7,4,3
7,24237050212,Δημοτική Κοινότητα Σειρών,101,6,8,3,3,9,3,3,8,0,9,11,9,4,10,10,15
8,2423705021201,"Σειραί,αι",20,3,0,0,0,0,0,0,3,0,0,0,3,0,4,3,7
8,2423705021202,"Άγιοι Θεόδωροι,οι",4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
8,2423705021203,"Άγιος Γεώργιος,ο",32,0,5,3,0,0,0,4,0,0,0,3,3,3,6,4,0
8,2423705021204,"Θωμαίϊκα,τα",18,0,0,0,0,8,0,3,0,0,3,3,0,0,0,0,3
8,2423705021205,"Κρήνη,η",28,0,0,0,0,0,0,0,0,0,3,0,4,0,3,4,3
6,242370503,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΚΛΕΙΤΟΡΟΣ,1083,38,38,35,36,42,50,36,51,56,57,70,77,98,91,90,219
7,24237050301,Δημοτική Κοινότητα Κλειτορίας,345,13,20,15,20,14,16,16,15,21,27,27,26,20,22,19,55
8,2423705030101,"Κλειτορία,η",321,13,16,15,20,14,14,16,14,21,27,24,28,19,19,16,47
8,2423705030102,"Βάλτος,ο",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
