level,location_id,name,sum,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+
8,2423704040701,"Ερυμάνθεια,η",217,13,13,4,8,5,14,15,14,16,11,17,26,15,11,12,30
7,24237040408,Δημοτική Κοινότητα Κάλφα,178,6,6,6,26,10,7,3,7,11,14,8,12,8,11,13,32
8,2423704040801,"Κάλφας,ο",149,4,4,7,15,10,7,3,6,9,15,8,10,8,11,11,25
8,2423704040802,"Μασουραίικα,τα",31,0,0,3,7,0,0,0,3,4,3,0,0,3,3,4,6
7,24237040409,Δημοτική Κοινότητα Μανεσίου Πατρών,308,7,16,14,18,9,15,19,16,29,18,24,19,19,22,33,48
8,2423704040901,"Μανέσιον,το",120,4,10,12,5,4,6,6,4,14,9,6,0,7,7,16,20
8,2423704040902,"Γολέμιον,το",60,0,0,0,7,3,0,0,3,5,0,6,4,3,3,7,14
8,2423704040903,"Κάτω Μαστραντώνιον,το",97,0,3,4,6,0,5,6,3,5,6,10,3,5,9,5,12
8,2423704040904,"Μαστραντώνης,ο",29,3,0,0,0,0,4,4,3,8,5,0,3,0,0,0,4
7,24237040410,Δημοτική Κοινότητα Ρουπακιάς,113,0,0,3,3,3,4,11,9,7,8,4,12,9,9,6,22
8,2423704041001,"Ρουπακιά,η",113,0,0,3,3,3,4,11,9,7,8,4,12,9,9,6,22
7,24237040411,Δημοτική Κοινότητα Σκιαδά,544,10,29,24,24,27,19,34,29,38,31,36,38,37,47,37,97
8,2423704041101,"Σκιαδάς,ο",308,5,22,16,16,17,12,13,13,23,18,19,15,17,21,20,58
8,2423704041102,"Καρπέτα,το",104,4,4,3,4,6,3,6,6,8,3,7,6,10,10,4,18
8,2423704041103,"Μονή Κοιμήσεως Θεοτόκου Νοτενών,η",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2423704041104,"Μπαράκες,οι",78,0,3,0,3,0,0,7,5,9,3,3,9,8,7,4,6
8,2423704041105,"Πηγάδια,τα",60,0,0,3,3,3,6,4,3,3,0,3,4,4,0,6,13
7,24237040412,Δημοτική Κοινότητα Σκούρα,117,4,6,3,7,13,8,9,5,3,8,12,11,10,3,6,13
8,2423704041201,"Σκούρας,ο",97,0,3,0,7,13,3,10,3,4,8,10,6,8,3,5,9
8,2423704041202,"Καρδάσι,το",22,0,4,0,0,0,3,3,0,0,0,0,3,0,4,5,0
7,24237040413,Δημοτική Κοινότητα Σπαρτιάς,172,4,9,6,5,7,6,6,9,13,12,7,6,12,17,17,27
8,2423704041301,"Σπαρτιά,η",70,0,8,0,4,3,3,4,5,5,5,4,4,3,6,4,7
8,2423704041302,"Κυπαρίσσιον,το",106,3,3,6,4,3,0,5,3,9,4,5,6,13,7,11,17
7,24237040414,Δημοτική Κοινότητα Χιόνας,147,3,3,8,12,12,10,6,4,7,14,9,4,17,14,7,21
8,2423704041401,"Χιόνα,η",147,3,3,8,12,12,10,6,4,7,14,9,4,17,14,7,21
5,2423705,ΔΗΜΟΣ ΚΑΛΑΒΡΥΤΩΝ,9224,275,330,318,370,363,425,414,471,501,572,610,691,723,761,652,1754
6,242370501,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΚΑΛΑΒΡΥΤΩΝ,4927,160,209,197,231,203,262,229,274,306,352,352,373,342,363,305,784
7,24237050101,Δημοτική Κοινότητα Καλαβρύτων,1703,73,76,77,97,70,99,98,125,119,122,133,115,105,100,88,217
8,2423705010101,"Καλάβρυτα,τα",1600,75,71,72,94,63,94,88,117,113,114,118,109,101,91,80,202
8,2423705010102,"Αυλών,ο",32,0,0,0,0,0,0,4,3,0,0,3,3,5,0,0,4
8,2423705010103,"Βραχνίον,το",13,3,0,0,0,0,0,0,0,3,4,0,3,0,0,0,0
8,2423705010104,"Κραστικοί,οι",37,4,0,0,3,6,5,3,0,3,3,7,4,0,0,3,8
8,2423705010105,"Μονή Αγίας Λαύρας,η",4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
8,2423705010106,"Σούβαρδον,το",9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4
8,2423705010107,"Στάση Κερπινής,η",9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4
7,24237050102,Δημοτική Κοινότητα Άνω Βλασίας,129,3,5,6,0,4,6,7,14,8,9,7,12,14,6,6,17
8,2423705010201,"Άνω Βλασία,η",129,3,5,6,0,4,6,7,14,8,9,7,12,14,6,6,17
7,24237050103,Δημοτική Κοινότητα Άνω Λουσών,82,0,3,0,3,6,4,0,3,3,12,10,13,3,0,5,21
8,2423705010301,"Άνω Λουσοί,οι",75,0,3,0,3,5,4,0,3,3,12,10,10,3,0,5,21
8,2423705010302,"Βαλβούσια,τα",5,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0
7,24237050104,Δημοτική Κοινότητα Βάλτας,57,0,3,0,3,5,3,3,0,0,3,3,5,3,7,7,14
8,2423705010401,"Βάλτα,η",57,0,3,0,3,5,3,3,0,0,3,3,5,3,7,7,14
7,24237050105,Δημοτική Κοινότητα Βιλιβίνης,26,0,0,0,0,0,0,3,0,0,0,0,0,4,3,4,9
8,2423705010501,"Βιλιβίνα,η",26,0,0,0,0,0,0,3,0,0,0,0,0,4,3,4,9
7,24237050106,Δημοτική Κοινότητα Γουμένισσας,187,11,6,16,8,9,8,11,11,8,14,20,12,11,7,6,26
8,2423705010601,"Γουμένισσα,η",187,11,6,16,8,9,8,11,11,8,14,20,12,11,7,6,26
7,24237050107,Δημοτική Κοινότητα Δουμενών,67,0,6,9,6,0,4,0,3,6,6,5,5,5,5,7,9
8,2423705010701,"Δουμενά,τα",67,0,6,9,6,0,4,0,3,6,6,5,5,5,5,7,9
7,24237050108,Δημοτική Κοινότητα Δροσάτου,120,3,11,3,6,0,6,0,7,10,8,9,5,13,10,5,28
8,2423705010801,"Δροσάτον,το",120,3,11,3,6,0,6,0,7,10,8,9,5,13,10,5,28
7,24237050109,Δημοτική Κοινότητα Καλλιφωνίου,59,0,0,0,0,3,0,3,0,6,0,3,4,6,11,3,17
8,2423705010901,"Καλλιφώνιον,το",59,0,0,0,0,3,0,3,0,6,0,3,4,6,11,3,17
7,24237050110,Δημοτική Κοινότητα Κανδάλου,77,3,5,0,0,3,3,3,6,6,3,4,8,3,5,13,14
8,2423705011001,"Κάνδαλος,ο",77,3,5,0,0,3,3,3,6,6,3,4,8,3,5,13,14
7,24237050111,Δημοτική Κοινότητα Κάτω Βλασίας,67,0,0,0,3,4,4,3,3,8,3,3,5,9,3,7,12
8,2423705011101,"Κάτω Βλασία,η",61,0,0,0,3,4,4,3,3,8,3,0,5,9,3,3,12
8,2423705011102,"Μενυχταίικα,τα",3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
8,2423705011103,"Μετόχιον,το",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
8,2423705011104,"Μονή Αγίου Νικολάου Βλασίας,η",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
